Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-229.2164	-231.1125	1.896085	0.8462018	0.08930626	0.0914424	0.0136125	0.00987228	0.178836	0.058241	0.069113	0.00407708	0.061505	0.148123	0.21423	0.159311	0.000317132	0.00714766	0.00758097	0.0623879	0.00564518	0.002820529	12.11288	0.105345	0.425091	0.968978	2.50059	0.145312	0.142063	0.246134	0.0833979	0.250426	0.132667	0.09426293	0.02992193
100	-232.2082	-231.6339	-0.5743403	2.69115	0.06303669	0.07093201	0.152789	0.0218268	0.0968755	0.0825494	0.0188865	0.00197713	0.176303	0.0141371	0.1558	0.0588514	0.00689204	0.00322775	0.0578936	0.0237975	0.128193	0.002593338	17.43549	0.363861	0.712854	1.0805	1.84279	0.116585	0.167997	0.34303	0.0386632	0.206754	0.126971	0.07352534	0.03527135
200	-235.2847	-233.7827	-1.501978	2.36117	0.0308294	0.04680574	0.0192115	0.00833554	0.0526334	0.187239	0.158533	0.00397938	0.0480019	0.0585343	0.16139	0.0858665	0.00928279	0.0222228	0.118113	0.0190739	0.0475829	0.01676801	16.40383	0.332886	0.688639	1.07687	1.90161	0.133586	0.209276	0.269843	0.0387806	0.269786	0.078728	0.06357375	0.2637568
300	-229.9752	-231.2065	1.231266	2.175361	0.1380585	0.1396147	0.00403377	0.0323488	0.0487779	0.0509034	0.147943	0.0135015	0.00777253	0.0124179	0.108795	0.169232	0.0259299	0.0193434	0.0858124	0.0761816	0.197008	0.01824608	12.54408	0.313346	0.672453	1.07382	1.94038	0.123951	0.28133	0.218945	0.0649517	0.199783	0.111038	0.1578608	0.1155833
400	-237.3022	-233.3935	-3.908635	0.9010591	0.04251584	0.03696098	0.0913948	0.0844139	0.0444867	0.0898055	0.0269006	0.00287349	0.0263442	0.0683335	0.0329934	0.286485	0.0155807	0.000655797	0.0195579	0.115817	0.0943575	0.006567834	38.73189	0.116814	0.44485	0.981455	2.45688	0.139064	0.201757	0.178682	0.081638	0.21676	0.182099	0.04352881	0.1508848
500	-248.191	-242.0463	-6.144646	0.5403556	0.04713568	0.01480004	0.089538	0.122747	0.0160036	0.0514551	0.150518	0.0146437	0.10977	0.00986266	0.10073	0.060407	0.000215706	0.00101009	0.0254627	0.124783	0.122853	0.003800819	88.29171	0.0410896	0.277447	0.847548	2.83392	0.205047	0.190304	0.207923	0.10203	0.253279	0.0414177	0.01860086	0.2043357
600	-235.2015	-236.1456	0.9440681	1.159832	0.05144604	0.08271231	0.0508573	0.00262919	0.0794481	0.0131337	0.102648	0.00608703	0.0418396	0.133881	0.0937403	0.109638	0.0107126	0.00123085	0.146782	0.030613	0.17676	0.004812591	12.33483	0.167698	0.520033	1.02215	2.29012	0.215676	0.185508	0.196793	0.0490434	0.290244	0.0627357	0.0875249	0.05498539
700	-238.3991	-228.3241	-10.07506	2.70182	0.05855031	0.07468226	0.179774	0.0307475	0.063743	0.0273967	0.154675	0.00580032	0.00295622	0.028605	0.148456	0.183763	0.00458326	0.0308739	0.00613872	0.0786936	0.0537934	0.05651876	61.05181	0.364793	0.713557	1.08059	1.84106	0.142384	0.177779	0.266894	0.0620556	0.251243	0.0996452	0.131201	0.4307799
800	-233.6749	-233.7448	0.06990528	1.097293	0.2214348	0.1015153	0.0897127	0.0372681	0.0173144	0.00443988	0.0290497	0.00295222	0.0143141	0.0082542	0.16702	0.211894	0.0127209	0.0503503	0.128254	0.142474	0.0839814	0.01328692	17.00678	0.155947	0.504162	1.01442	2.32547	0.158035	0.208714	0.210507	0.0344589	0.29141	0.0968749	0.1148023	0.1157374
900	-240.3349	-234.5836	-5.751275	0.6927461	0.07628007	-0.007808605	0.0828191	0.0250778	0.00423388	0.0138963	0.0445047	0.0153972	0.0384706	0.233892	0.00790714	0.200851	0.00499377	0.0112407	0.0762173	0.0188584	0.221641	0.1333702	12.44938	0.0726395	0.360087	0.92215	2.64512	0.176374	0.139679	0.310632	0.0474283	0.204428	0.121459	0.1255616	1.062189
