Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-258.747	-238.3809	-20.36602	1.773557	2.257891	0.859055	0.0389719	0.324582	0.166156	0.392258	0.320223	0.0477124	0.196675	0.00212171	0.119618	0.107739	0.249698	0.89833	0.268023	0.992516	0.313586	0.2914972	0.02364948	0.0470898	0.0109322	0.142287	0.0126891	0.069063	0.0269207	0.0102221	0.135089	0.0450545	0.0987798	0.0114115	0.165477	0.0182666	0.108585	0.0981331	0.10198	3	16.96706	0.08816499	0.322231	0.679906	1.07528	1.92258	0.213372	0.254167	0.194688	0.113028	0.174161	0.0505837	0.1256295	0.8117522
100	-262.1998	-244.8124	-17.38737	1.579385	2.70226	0.490236	0.0364308	0.0680422	0.353409	0.767286	0.379292	0.0378113	0.377322	0.233829	0.106094	0.243969	0.140898	0.23987	0.481995	0.0855585	0.709642	0.2013598	-0.06812766	0.109807	0.00105162	0.183554	0.00592736	0.0460997	0.0477387	0.136351	0.021635	0.00315843	0.171896	0.0243612	0.172192	0.00682442	0.00491805	0.0644862	0.2479691	3	15.64856	0.05726526	0.364831	0.713586	1.08059	1.84099	0.131592	0.2838	0.126858	0.100907	0.29651	0.0603327	0.1798414	1.378821
200	-261.5412	-241.5745	-19.96666	3.138553	5.677113	0.0313024	0.0227314	0.0974768	0.458414	0.832109	0.0672291	0.00852911	0.235951	0.219173	0.143025	0.177597	0.0614651	0.0177285	0.0588756	0.382154	0.104223	0.1252701	-0.01914729	0.0988468	0.0259445	0.158726	0.0124779	0.0615156	0.0856612	0.0324426	0.0172446	0.234315	0.0705687	0.0411427	0.104577	0.0111144	0.037782	0.00764037	0.2553581	2	24.45736	0.09387898	0.527982	0.818566	1.08197	1.57149	0.217076	0.207623	0.166304	0.0737745	0.261176	0.0740468	0.2362108	1.08106
300	-258.423	-243.0543	-15.36876	4.996211	3.031369	0.0484468	0.0381559	0.0850878	0.0620095	0.114975	0.298768	0.0397296	0.103217	0.0370039	0.229791	0.186771	0.092792	0.243106	0.0647102	0.152635	0.443884	0.1912115	0.03876115	0.118645	0.00360101	0.191974	0.036203	0.0345138	0.00346807	0.0349193	0.141631	0.0690326	0.175608	0.0171066	0.039327	0.00278662	0.0418075	0.0893765	0.2013505	1	22.91408	0.06442229	0.391674	0.73325	1.08267	1.79241	0.177367	0.215542	0.159876	0.124899	0.229825	0.0924907	0.2401116	0.8385703
400	-260.313	-244.4293	-15.88366	4.850151	2.458207	0.0989089	0.0429332	0.294352	0.0938218	0.64129	0.164406	0.00597073	0.020688	0.100271	0.108591	0.0104257	0.284946	0.458575	0.0215329	0.0461435	0.647607	0.1847052	-0.03411667	0.10017	0.000175019	0.0649306	0.0336621	0.083095	0.00434835	0.225395	0.0690404	0.0535771	0.195488	0.01732	0.0625615	0.00681785	0.0433198	0.0400993	0.3585565	1	15.51221	0.0571912	0.342458	0.696302	1.07814	1.8831	0.198325	0.195307	0.234956	0.0881181	0.241362	0.0419311	0.3244398	1.105156
500	-263.8814	-239.7915	-24.08999	2.381243	2.70913	0.426909	0.0101359	0.336125	0.304658	0.0983062	0.465689	0.0375271	0.538872	0.530866	0.158267	0.317483	0.530557	0.864364	0.111481	0.132205	0.262049	0.4031742	0.06962166	0.0583397	0.0220866	0.140883	0.024833	0.108306	0.020658	0.0680367	0.121898	0.0129409	0.0797409	0.0157467	0.132237	0.0664247	0.0862536	0.0416155	0.1965579	3	19.43893	0.1169491	0.365428	0.714036	1.08065	1.83989	0.220866	0.252049	0.212612	0.0913208	0.185047	0.0381051	0.2661796	0.738441
600	-270.0745	-251.9472	-18.12733	4.003354	1.944521	0.255516	0.0458745	0.0106084	0.0678228	0.686627	0.259786	0.0630852	0.38208	0.10928	0.0925977	0.0789515	0.565965	0.553917	0.102248	0.0109088	0.107258	0.259034	0.1069036	0.0744088	0.0218677	0.063446	0.00992216	0.0219991	0.0512298	0.014842	0.0375836	0.000725821	0.0824915	0.0310932	0.149796	0.050966	0.358649	0.0309797	0.3959516	2	15.93132	0.1475294	0.286561	0.648981	1.06854	1.99592	0.320482	0.159179	0.196871	0.0838654	0.197699	0.0419023	0.5028552	0.7874068
700	-260.0589	-245.2128	-14.84608	1.946979	3.925062	0.0846303	0.139418	0.756677	0.00833162	0.245974	0.42416	0.191332	0.0302589	0.295775	0.252431	0.13812	0.139351	0.000400751	0.0118385	0.955495	0.0595904	0.2725855	0.03456417	0.0626618	0.0136898	0.113838	0.0279107	0.0814943	0.0305207	0.112016	0.0635427	0.0613009	0.0827975	0.00661526	0.224598	0.0358191	0.0240337	0.0591611	0.2392223	2	17.63528	0.07047547	0.450198	0.772577	1.08441	1.69282	0.240126	0.170316	0.121225	0.162398	0.257567	0.0483683	0.2737865	0.873755
800	-266.4709	-240.4849	-25.98598	0.7799274	1.599282	0.0113006	0.00290718	0.017694	0.211678	0.38957	1.01589	0.0585251	0.171176	0.100283	0.0168963	0.390207	0.478669	0.0187357	0.394015	0.0145665	0.406454	0.1563728	-0.03197805	0.0714423	0.00695552	0.101336	0.0578653	0.11642	0.00151618	0.0719504	0.0392196	0.0276666	0.14301	0.00528344	0.172942	0.100875	0.0123597	0.0711583	0.1670209	2	25.69931	0.01992012	0.24026	0.604289	1.05576	2.09969	0.188087	0.204486	0.180976	0.0941924	0.264254	0.0680053	0.1350428	1.236799
900	-263.2021	-242.6092	-20.59286	1.026456	3.599706	0.162266	0.587919	0.494138	0.0391677	0.187206	0.143704	0.404888	0.104675	0.33305	0.279851	0.00963789	0.182913	0.638062	0.0320589	0.766621	0.379301	0.3352538	-0.05980937	0.0711054	0.0321184	0.220549	0.0240285	0.0423661	0.00942384	0.0266036	0.0917786	0.109764	0.169913	0.0298543	0.139269	0.000714847	0.0167899	0.0157215	0.315928	3	17.85359	0.1348447	0.430922	0.76012	1.08422	1.72474	0.187049	0.242703	0.224501	0.0749975	0.218327	0.0524225	0.2561186	1.233522
