Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-236.0566	-257.5378	21.48121	1.008129	0.0415735	0.0216531	0.0974916	0.0091647	0.0037318	0.024034	0.0227796	0.000478212	0.0413379	0.00727258	0.0203646	0.0148296	0.0192443	0.0641245	0.104393	0.0574685	0.05236751	0.01604051	0.0514548	0.00186222	0.104477	0.103188	0.185687	0.0552104	0.0196892	0.0117907	0.0152634	0.126554	0.0555928	0.0222026	0.191574	0.0105643	0.0448896	0.01401106	101.8195	0.138573	0.479182	1.00133	2.38091	0.236824	0.123787	0.161513	0.142078	0.211954	0.123843	0.03005157	0.466234
100	-233.1045	-241.5497	8.445203	3.174493	0.0035196	0.191095	0.0293352	0.00377072	0.0266374	0.0255347	0.0525054	0.0332367	0.0486693	0.0589949	0.0252284	0.0175663	0.112875	0.113758	0.0308996	0.0267061	0.05479759	0.002773451	0.0399388	0.126368	0.285395	0.0566276	0.0811936	0.033439	0.0569015	0.00385995	0.032464	0.0526017	0.0641094	0.0267904	0.116538	0.0179119	0.00586117	0.01624941	322.8014	0.402326	0.740753	1.08325	1.77367	0.276819	0.166655	0.0962579	0.107613	0.222472	0.130183	0.01902286	0.8542043
200	-229.5801	-249.479	19.89886	1.477172	0.00520151	0.0491851	0.163489	0.00108519	0.00766251	0.0105307	0.101195	0.0185612	0.00208226	0.0344091	0.0975042	0.0531875	0.0116806	0.00797441	0.00500712	0.0120161	0.02674942	0.01005037	0.0744875	0.00715926	0.00674231	0.0952227	0.136649	0.0100221	0.180862	0.0108406	0.0311398	0.0049005	0.0120965	0.0352206	0.241884	0.139213	0.0135603	0.003103046	96.89927	0.221774	0.584712	1.04905	2.14446	0.232594	0.193429	0.208698	0.0839813	0.154877	0.12642	0.01315341	0.2359118
300	-245.259	-246.352	1.092926	3.745362	0.0124055	0.141505	0.15073	0.0180464	0.0728845	0.241471	0.407935	0.0610891	0.0640595	0.083439	0.190359	0.0226041	0.0465741	0.328458	0.133402	0.0324121	0.1510232	0.03237927	0.0415536	0.00328844	0.267298	0.113526	0.0894382	0.0196001	0.000615227	0.000260774	0.04576	0.0674687	0.026175	0.0857367	0.121038	0.104375	0.0138667	0.01745924	59.74143	0.439802	0.765916	1.08435	1.70993	0.237461	0.210067	0.135952	0.105312	0.158888	0.152319	0.04983851	0.3503163
400	-252.4115	-248.4933	-3.91824	1.552221	0.432503	0.0910011	0.184789	0.027833	0.174707	0.348618	0.312386	0.0882246	0.70381	0.0739749	0.367033	0.282931	0.171373	0.0570505	0.403761	0.0107183	0.2052799	0.02647927	0.0484118	0.0321102	0.230282	0.13608	0.0467154	0.0787372	0.0387101	0.026722	0.00836674	0.114817	0.0672466	0.000580886	0.153518	0.000332856	0.0173701	0.00327976	55.74844	0.233278	0.597024	1.05335	2.11635	0.294992	0.157813	0.0824014	0.0927856	0.163176	0.208833	0.02975903	0.1102106
500	-224.8932	-242.5218	17.62859	2.184947	0.0165965	0.0567816	0.0886541	0.000758222	0.0182162	0.0213655	0.100052	0.0589824	0.0335088	0.0366818	0.0777732	0.0189946	0.0593071	0.0296652	0.00925735	0.0163247	0.04365282	0.01176154	0.0294268	0.00960327	0.0543517	0.0444064	0.175615	0.000706197	0.0554254	0.000680871	0.0208091	0.0389944	0.0619142	0.0411407	0.22198	0.108166	0.13678	0.0004685485	185.3175	0.314396	0.673342	1.074	1.93827	0.245634	0.215058	0.13911	0.0788496	0.220202	0.101145	0.01223009	0.03831113
600	-254.8639	-247.762	-7.101886	2.896426	0.145843	0.445771	0.0185285	0.172425	0.0450272	1.0123	0.014354	0.0417465	0.611525	0.570288	0.160551	0.0381781	0.0610708	0.795094	0.109353	0.313508	0.288063	0.09209686	0.021517	0.144257	0.118051	0.0981641	0.155332	0.00141398	0.000649304	0.010085	0.0839749	0.0167884	0.0333006	0.0651563	0.114971	0.102859	0.0334798	0.02033955	21.3137	0.381087	0.725627	1.08195	1.81133	0.273907	0.225527	0.139693	0.0613338	0.169414	0.130126	0.1124364	0.1808983
700	-236.6653	-248.4487	11.7834	5.779721	0.033513	0.117178	0.0611733	0.0106991	0.0298106	0.0555881	0.0306441	0.0739845	0.0755976	0.0229397	0.0853688	0.0512488	0.0639258	0.00198079	0.103969	0.12175	0.0524536	0.04963905	0.0614969	0.0745856	0.148372	0.150195	0.158812	0.00306478	0.0544784	0.0138465	0.028172	0.0892449	0.0284214	0.00187604	0.0483224	0.0562574	0.0828544	0.01256563	52.72199	0.531558	0.820532	1.08175	1.56617	0.290977	0.218519	0.128619	0.0847076	0.210044	0.0671325	0.06220468	0.2020046
800	-231.8204	-246.695	14.87454	5.618912	0.0778204	0.0776665	0.00247057	0.00368432	0.0213597	0.0690989	0.0505181	0.0445596	0.102984	0.074739	0.0166119	0.0176486	0.0920033	0.00393185	0.00814212	0.0325191	0.05327027	0.01292267	0.127326	0.118692	0.0969457	0.019397	0.142732	0.0288953	0.105777	0.0555662	0.0436633	0.082754	0.000191615	0.00354095	0.110722	0.0309625	0.0328336	0.01946136	111.1107	0.525915	0.817426	1.08209	1.57457	0.227132	0.204564	0.0734761	0.114165	0.183363	0.1973	0.03238403	0.6009554
900	-228.9081	-245.1397	16.2316	9.156105	0.0142927	0.0730893	0.0388504	0.0171457	0.00324758	0.00401411	0.0443912	0.0320929	0.0654519	0.0352398	0.0301349	0.0216556	0.0297588	0.024548	0.0049348	0.0057787	0.03250588	0.008946819	0.0392073	0.0522244	0.149203	0.0662273	0.170975	0.0379582	0.00115846	0.00354308	0.0487225	0.020531	0.102075	0.033516	0.22073	0.00270849	0.0512207	0.002062295	167.1055	0.616663	0.86394	1.07409	1.44531	0.292745	0.162923	0.122881	0.119713	0.16638	0.135357	0.01100911	0.1873262
