Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-938.377	-696.534	-241.843	63.79654	5.69413	0.02602091	-0.0243792	0.0492884	0.0504705	0.0658796	0.113873	0.0282227	0.020489	0.123923	0.00931082	0.0348305	0.00598839	0.0478322	0.0117384	0.0421901	0.393401	0.00256184	0.6491872	3	69.85727	0.01578349	0.52858	0.818896	1.08193	1.57059	0.0472725	0.279886	0.127949	0.212546	0.233055	0.0992914	0.624808	1.039019
1	0	-911.2638	-677.67	-233.5938	68.45129	1.591325	0.03062883	0.002715907	0.18229	0.0261014	0.109589	0.0566617	0.167707	0.00727102	0.117271	0.00786008	0.0540702	0.00242076	0.0425115	0.00115835	0.00444992	0.2159	0.00473811	0.31735	6	70.22563	0.02941405	0.239092	0.603084	1.05536	2.10246	0.0329081	0.213704	0.140899	0.222745	0.265111	0.124633	0.3200659	0.9915145
2	0	-922.3145	-680.6057	-241.7088	55.77893	3.085015	0.03262662	0.04581527	0.0734054	0.00882902	0.0726633	0.12956	0.0880534	0.0210069	0.0765335	0.0137185	0.0508719	0.0168428	0.127557	0.0406017	0.0101135	0.269625	0.000617821	0.1966382	8	71.74098	0.05316168	0.395734	0.736129	1.0829	1.78523	0.0306675	0.296067	0.0681514	0.217118	0.271018	0.116977	0.2424535	0.8110348
3	0	-913.0191	-679.8116	-233.2075	59.00617	3.479078	0.0376154	0.02336286	0.143361	0.000544763	0.000826533	0.0775335	0.014507	0.00821995	0.179347	0.0344046	0.040471	0.0143256	0.189172	0.00167948	0.017946	0.259838	0.017824	0.3113849	9	64.76262	0.02679903	0.423234	0.755021	1.08404	1.73771	0.0465457	0.209323	0.103947	0.249111	0.255039	0.136035	0.3347478	0.9302076
4	0	-925.0481	-692.384	-232.6641	65.50804	3.091749	0.0310799	-0.03390546	0.0796293	0.0246694	0.0548522	0.0253008	0.1338	0.0376473	0.184044	0.0283852	0.0445695	0.036163	0.156193	0.00448812	0.00495702	0.179038	0.00626329	0.4327343	7	68.21579	0.03023766	0.396238	0.736485	1.08293	1.78434	0.0701681	0.253396	0.0609776	0.23443	0.252509	0.128519	0.3988289	1.085013
5	0	-907.1459	-673.9691	-233.1768	67.40394	2.197532	0.04535668	0.03371655	0.173495	0.0102717	0.0457508	0.0448351	0.0921366	0.0222272	0.147121	0.00661694	0.0223752	0.00446761	0.113205	0.0135413	0.0106227	0.292517	0.000817619	0.2327987	7	67.84451	0.03406313	0.315766	0.674499	1.07423	1.93551	0.0566062	0.229906	0.0660736	0.219659	0.268848	0.158907	0.2665153	0.8734911
6	0	-913.7496	-680.2389	-233.5107	60.8962	3.080675	0.02694454	0.003773766	0.12433	0.0564138	0.0301463	0.0464688	0.0368541	0.00514893	0.137467	0.0159852	0.045202	0.0471413	0.154767	0.0197469	0.0319485	0.247235	0.00114511	0.2392846	8	68.22052	0.04525527	0.395408	0.735899	1.08289	1.78581	0.0360477	0.24244	0.0752407	0.213774	0.30878	0.123718	0.2430584	0.9844738
7	0	-914.4776	-667.4318	-247.0457	72.64392	3.263667	0.02135536	-8.802843e-05	0.145126	0.0174268	0.0296719	0.159365	0.0406483	0.0153385	0.0689426	0.0368357	0.0670362	0.00964524	0.149963	0.0201838	0.0159628	0.212861	0.0109931	0.2565346	8	74.01669	0.03520762	0.408684	0.745155	1.08354	1.76262	0.0301061	0.263147	0.0970943	0.242332	0.243429	0.123892	0.2564466	1.000343
8	0	-935.2127	-688.0146	-247.1981	66.53327	5.360647	0.01993799	-0.04849487	0.0841374	0.0656935	0.0439672	0.0968308	0.148115	0.00491988	0.17033	0.0416284	0.0899096	0.0153847	0.0665213	0.00563863	0.00502277	0.159573	0.00232757	0.2814013	5	67.10885	0.0230445	0.5164	0.812118	1.08262	1.58886	0.0786357	0.202029	0.12773	0.218181	0.257191	0.116233	0.2329064	1.208216
9	0	-915.3869	-683.795	-231.5919	63.67137	3.966264	0.0319496	0.001442069	0.0742948	0.0211858	0.0697723	0.0406494	0.138757	0.0574149	0.173523	0.0123642	0.0386103	0.000126468	0.147735	0.0190299	0.00993252	0.17253	0.0240747	0.319963	6	68.72853	0.03211614	0.452499	0.774034	1.08441	1.68906	0.0855709	0.182711	0.0940705	0.188979	0.345052	0.103617	0.3214051	0.9955132
10	0	-914.542	-683.9989	-230.5431	54.75567	2.81497	0.02888576	-0.01007569	0.0708951	0.0799842	0.0371203	0.0700634	0.0574937	0.0137308	0.153726	0.0197342	0.0674867	0.00313756	0.099585	0.0174933	0.0149418	0.281015	0.0135928	0.2766715	7	67.37212	0.03420111	0.374421	0.72074	1.08144	1.8234	0.0544057	0.232561	0.115028	0.177292	0.321354	0.0993595	0.2665959	1.037794
11	0	-901.9145	-682.2876	-219.6269	61.48087	3.650148	0.04485275	0.01028376	0.168487	0.0208975	0.0199922	0.0933262	0.155877	0.0125348	0.103578	0.00765785	0.0110133	0.0193511	0.124898	0.00332658	0.00444163	0.231742	0.022877	0.3081568	5	62.63805	0.0439223	0.434046	0.76217	1.08427	1.71951	0.0451101	0.227145	0.0707379	0.239048	0.2641	0.15386	0.3184405	0.9677059
12	0	-892.2851	-688.676	-203.6091	8.542737	4.917174	0.06209622	0.0426563	0.0872288	0.0141956	0.0224927	0.060406	0.0556072	0.0151354	0.08856	0.00607346	0.0786645	0.00861432	0.10862	0.0068352	0.023029	0.424129	0.000408952	0.4131007	6	59.18463	0.040156	0.498601	0.801948	1.08344	1.61601	0.0528093	0.30663	0.0865371	0.197843	0.274328	0.0818523	0.455757	0.9064056
13	0	-914.4674	-692.1573	-222.3101	7	8.373435	0.04578382	0.0645304	0.143969	0.00425359	0.0385556	0.0520329	0.0251501	0.0093341	0.201258	0.017734	0.00450327	0.00132816	0.0625113	0.00710813	0.0208742	0.404086	0.00730187	0.4228145	6	59.26433	0.04255977	0.601161	0.856486	1.0758	1.46655	0.0338916	0.224434	0.0912043	0.212726	0.293509	0.144235	0.4873449	0.8675878
14	0	-898.6291	-682.5979	-216.0312	14.23666	4.420237	0.0505196	0.02950951	0.141862	0.0406262	0.0569407	0.0995969	0.0986753	0.0169817	0.0994295	0.00865011	0.00771335	0.0201205	0.0338171	0.00326308	0.0124974	0.357524	0.00230212	0.3479579	6	58.71093	0.05239647	0.476057	0.788593	1.08413	1.65122	0.0423541	0.233521	0.0789231	0.241382	0.299452	0.104367	0.3774674	0.9218224
15	0	-898.0999	-678.5818	-219.5181	18.28431	4.416661	0.04282516	0.01246715	0.14441	0.00735091	0.0299911	0.0738197	0.0339403	0.0195445	0.143527	0.0100469	0.0626284	0.00401618	0.0487626	0.0339009	0.0172722	0.36572	0.00506948	0.2993145	8	60.20938	0.06137329	0.475883	0.788488	1.08414	1.65149	0.051872	0.203355	0.10543	0.220753	0.317184	0.101407	0.3117817	0.9600132
16	0	-897.7212	-681.5982	-216.123	10.80241	6.423124	0.03650429	0.02421015	0.0840561	0.00266362	0.0162449	0.0621976	0.0641277	0.00591344	0.205383	0.0233993	0.0359391	0.000431935	0.0766872	0.00488527	0.0131211	0.403809	0.00114084	0.2835935	7	66.37914	0.05513346	0.552239	0.83166	1.08029	1.53581	0.0650741	0.241975	0.122225	0.196477	0.275464	0.0987851	0.3078037	0.9213455
17	0	-909.2962	-686.1159	-223.1803	58.60725	3.057777	0.04223176	-0.009187433	0.116385	0.00205115	0.107755	0.00893525	0.0550177	0.0214102	0.151622	0.0174083	0.0278526	0.0138487	0.048192	0.0248207	0.0286352	0.371642	0.00442415	0.2921895	11	74.51331	0.042991	0.393683	0.734678	1.08279	1.78885	0.0468044	0.228092	0.098669	0.261406	0.246311	0.118718	0.283002	1.032464
