Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-218.7939	-228.2725	9.478598	3.497108	0.0716034	0.218123	0.026582	0.133702	0.0175431	0.12664	0.141129	0.0986698	0.225909	0.00467713	0.251213	0.189196	0.0156656	0.0645169	0.07936056	0.039424	0.0403785	0.0653899	0.0138084	0.196258	0.0215424	0.013863	0.00451157	0.0110986	0.2433	0.070658	0.00922755	0.0128658	0.18122	0.0547495	0.0611281	0.006235101	38.22941	0.424404	0.755801	1.08407	1.73573	0.143349	0.117778	0.247047	0.0818737	0.301962	0.10799	0.0456591	0.1365577
1	0	-266.5659	-243.4136	-23.15222	3.73449	1.178	0.118453	0.0175581	1.05136	0.033746	0.140858	2.46184	0.0321471	1.25223	0.240554	1.10378	0.463004	0.852041	1.73271	0.6522869	-0.05222968	0.0406784	0.0527252	0.017952	0.0818351	0.0531145	0.0148733	0.00247502	0.0052289	0.100747	0.0231717	0.146472	0.076989	0.3605	0.0018204	0.021418	0.1519152	21.74197	0.439154	0.765496	1.08434	1.71101	0.181326	0.111192	0.241266	0.0629577	0.273989	0.12927	0.09968549	1.523945
2	0	-236.9671	-233.0909	-3.876127	1.356244	0.0342296	0.0479574	0.146379	0.0220263	0.0931754	0.126605	0.0298371	0.0301237	0.0218097	0.260561	0.549337	0.11664	0.00766742	0.0387648	0.1300416	-0.003019661	0.000624654	0.0213086	0.147921	0.198159	0.0410336	0.00327165	0.0592637	0.000764417	0.307816	0.0569657	0.0132436	0.0142921	0.0601489	0.0544048	0.0207822	0.03457755	278.6337	0.202237	0.562737	1.04073	2.19429	0.173771	0.157241	0.19282	0.0362084	0.371196	0.0687632	0.03155789	1.095686
3	0	-239.4274	-236.5155	-2.911846	5.906851	0.254075	0.208818	0.375226	0.342502	0.454487	0.454088	0.418335	0.185814	0.638676	0.127337	0.198794	0.282705	0.521348	0.0776394	0.2830761	0.1126706	0.067273	0.105728	0.0171223	0.082975	0.0858472	0.0383852	0.0691531	0.00467191	0.281004	0.0104922	0.0146452	0.0208001	0.131825	0.0684628	0.00161491	0.001878198	13.64647	0.535876	0.822888	1.08147	1.55977	0.116396	0.133497	0.249964	0.0609211	0.346831	0.0923902	0.1145488	0.01639649
4	0	-233.2885	-234.186	0.8975141	2.030424	0.685912	0.114598	0.223773	0.229326	0.208996	0.112642	0.0276681	0.231668	0.367658	0.934136	0.0274685	0.0475241	0.121111	0.113983	0.2232322	0.03165459	0.0567085	0.150392	0.0180854	0.138623	0.0185866	0.00215051	0.00434488	0.0318325	0.35624	0.00488729	0.00227093	0.00849465	0.126298	0.0561669	0.0249185	0.0088071	36.43032	0.29688	0.65821	1.07073	1.97418	0.13745	0.0957674	0.276546	0.0575282	0.319306	0.113403	0.04046169	0.2176651
5	0	-240.9178	-241.3632	0.4454465	3.22793	0.0756472	0.378957	0.004618	0.0422436	0.24648	0.122643	0.0886334	0.726573	0.702683	0.00405357	0.0281963	0.0430451	0.289635	0.10303	0.1238375	0.04440569	0.0253785	0.0981947	0.134847	0.126235	0.00619178	0.00673202	0.0647292	0.00491523	0.10653	0.0680557	0.0579082	0.00911344	0.125914	0.0895684	0.0756864	0.006507062	49.76933	0.406161	0.743415	1.08343	1.76699	0.165208	0.234497	0.144668	0.0556165	0.228969	0.171041	0.05091275	0.1278081
6	0	-239.0449	-238.0921	-0.952854	2.425744	0.0396384	0.227079	0.046347	0.211955	0.0736146	0.0558303	0.193268	0.14431	0.391778	0.0771245	0.426098	0.0545891	5.05708e-05	0.217566	0.1624631	0.01988388	0.0355432	0.0142659	0.000576115	0.351545	0.16607	0.0406005	0.00182046	0.0248892	0.0527179	0.00427796	0.0264316	0.014793	0.184821	0.0804374	0.00121046	0.0243215	141.045	0.339302	0.693793	1.07773	1.88917	0.129761	0.142749	0.259119	0.0705792	0.26023	0.137561	0.04420538	0.5501932
7	0	-246.5771	-236.8938	-9.683283	1.352551	1.35693	0.359315	0.0731024	0.345368	0.81118	0.490104	0.00731486	0.440898	0.137853	0.13478	0.786252	0.190869	0.557338	0.996881	0.4133126	0.109722	0.0165018	0.0808895	0.0366427	0.110899	0.288876	0.00623032	0.0262808	0.00495079	0.144068	0.0752404	0.0207403	0.0135143	0.124389	0.00288715	0.0478895	0.0108143	25.93199	0.20162	0.56202	1.04045	2.19591	0.0793445	0.152657	0.278519	0.069663	0.297217	0.1226	0.1205363	0.08971822
8	0	-238.6354	-239.7774	1.142057	3.006045	0.30026	0.0434018	0.338565	0.109136	0.00214439	0.0487767	0.177145	0.353924	0.387545	0.256972	0.215516	0.0769793	0.72866	0.242512	0.2133874	0.1292622	0.00374278	0.0959947	0.0190344	0.25039	0.0324788	0.00368818	4.77046e-05	0.00584833	0.156767	0.0339692	0.0142361	0.02673	0.0411705	0.122943	0.192959	0.00666367	22.86823	0.389729	0.731862	1.08255	1.79586	0.0900204	0.184136	0.285935	0.0515389	0.266965	0.121406	0.1359259	0.04902428
9	0	-240.7301	-231.7737	-8.956405	4.129294	0.244573	0.0826295	0.186389	0.0975637	0.638538	0.202346	0.0534139	0.533716	0.866643	0.368442	1.01776	0.136705	0.338948	1.06497	0.269772	0.08196595	0.00871843	0.0907053	0.0395167	0.208039	0.0492516	0.000256303	0.0564555	0.00129346	0.0654569	0.264005	0.0154344	0.000205921	0.0798352	0.108763	0.0120632	0.04175256	16.44472	0.461327	0.779565	1.08436	1.67475	0.129313	0.105898	0.295463	0.0602206	0.315408	0.0936982	0.1237185	0.3374803
10	0	-219.9593	-232.6985	12.73914	2.108202	0.175519	0.0331819	0.0597706	0.173449	0.0432179	0.0140301	0.0424941	0.0114651	0.010394	0.217874	0.224309	0.0362799	0.0839535	0.0317532	0.1038925	0.02793832	0.00823042	0.0473469	0.212179	0.218452	0.0739587	0.0016944	0.0126548	0.000749505	0.0901597	0.000748719	0.283378	0.00116064	0.00967891	0.0173845	0.0222243	0.001312505	69.09221	0.305857	0.666048	1.07248	1.95562	0.196296	0.183603	0.165813	0.0588117	0.272078	0.123398	0.02925083	0.04487068
