Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-55.30656	-80.35579	25.04923	2.101429	0.0881288	0.00343524	0.00344721	0.028652	0.0107539	0.0109711	0.0212804	0.0398215	0.03140914	0.001080803	0.113249	0.0366603	0.0255327	0.0721234	0.101297	0.0586024	0.041626	0.00713732	0.0313597	0.118335	0.123544	0.164998	0.0246309	0.0552417	0.0256627	0.01248213	489.8337	0.305089	0.665383	1.07233	1.9572	0.0211358	0.44281	0.0295419	0.125128	0.340191	0.041193	0.01356293	0.920312
1	0	-64.7145	-88.90212	24.18762	3.188892	0.00150595	0.0542951	0.00914514	0.0219552	0.0992007	0.0045907	0.184818	0.131247	0.05749938	0.06231448	0.0674137	0.0734109	0.0720598	0.0109159	0.0124834	0.0355738	0.0290122	0.0347619	0.00832049	0.0969247	0.238502	0.0988101	0.0704484	0.0862514	0.0651112	0.008294118	30.99722	0.403367	0.741478	1.0833	1.77185	0.0953745	0.451937	0.0490788	0.0827861	0.245033	0.0757906	0.0706086	0.1174661
2	0	-66.4477	-89.67401	23.22631	1.686913	0.0761851	0.0665276	0.0696352	0.111359	0.15987	0.0116508	0.0534146	0.118444	0.06505943	0.1099208	0.0601104	0.0620732	0.116588	0.0690719	0.05501	0.00708643	0.0070195	0.0694863	0.0257489	0.204211	0.00637893	0.0854127	0.0213322	0.207533	0.00293696	0.00412041	20.28274	0.252807	0.616975	1.05974	2.07048	0.0456162	0.465412	0.0804772	0.0998052	0.247297	0.0613926	0.1140412	0.03613089
3	0	-43.7087	-79.34253	35.63383	3.109912	0.00198156	0.00132717	0.00560401	0.0170457	0.00204846	0.0257516	0.0044886	0.0115833	0.007418646	0.006876835	0.15488	0.0919082	0.0362439	0.0471189	0.0146193	0.189	0.0214791	0.0225437	0.095514	0.0113823	0.045863	0.0145487	0.0107667	0.180631	0.0635017	0.002179456	220.4184	0.39759	0.737437	1.08301	1.78196	0.00957803	0.463065	0.0058355	0.198001	0.296125	0.0273951	0.009056291	0.2406565
4	0	-61.48562	-85.48912	24.00351	2.374633	0.0949197	0.00818456	0.0133464	0.124262	0.103391	0.0404045	0.102398	0.253666	0.1275926	0.03551458	0.010653	0.0225961	0.0275601	0.132683	0.137333	0.0134151	0.0821137	0.163564	0.0499393	0.133356	0.0282736	0.0293774	0.00899654	0.145719	0.0144202	0.03992794	8.746766	0.334239	0.689732	1.07705	1.89898	0.0626417	0.387716	0.0260937	0.10415	0.355136	0.0642636	0.07544252	0.5292498
5	0	-58.1727	-85.68054	27.50784	0.5182321	0.0323947	0.0249022	0.0192737	0.0310656	0.0269534	0.00435304	0.0668099	0.0261619	0.08148744	0.01128991	0.202588	0.193249	0.0605713	0.0630179	0.00376995	0.0523562	0.0330164	0.046367	0.00419515	0.137702	0.0128915	0.0474046	0.0188467	0.121675	0.00234849	0.002689981	107.3739	0.0368147	0.263652	0.833094	2.86644	0.0189306	0.373932	0.00303606	0.134708	0.335718	0.133676	0.0139799	0.1924178
6	0	-71.97181	-88.9042	16.9324	4.814204	0.0705229	0.229085	0.031676	0.218592	0.0220015	0.12053	0.11659	0.338825	0.2164066	0.07947816	0.0378062	0.268787	0.0798159	0.00923514	0.0322274	0.102646	0.0770587	0.0109352	0.0307244	0.0451519	0.000406958	0.0810966	0.0153609	0.189193	0.0195552	0.001740402	13.49938	0.494173	0.799368	1.08361	1.62285	0.0173829	0.272688	0.0081923	0.203689	0.437425	0.0606226	0.08121856	0.02142862
7	0	-61.30852	-90.94521	29.63669	0.8730415	0.0305928	0.0089145	0.0682753	0.0685226	0.0054952	0.0548093	0.0225823	0.0332956	0.06101777	0.01356941	0.249096	0.0127725	0.0534993	0.0479594	0.0741292	0.111755	0.00203504	0.149068	0.0697044	0.0407128	0.0123042	0.0227279	0.0154046	0.0903253	0.0485068	0.01130697	41.45825	0.11098	0.43496	0.975306	2.47875	0.0349916	0.326596	0.0346824	0.1545	0.24769	0.20154	0.02487637	0.4545264
8	0	-70.83331	-86.14684	15.31354	0.6659697	0.00881053	0.0849924	0.0418851	0.743341	0.691872	0.496984	0.00949194	0.136008	0.1656616	0.08239108	0.0516576	0.121151	0.153042	0.0216611	0.0576413	0.0292542	0.0411461	0.083014	0.121378	0.0357092	0.0126798	0.00240227	0.00784596	0.247458	0.0139595	0.002913445	15.58965	0.0669395	0.347021	0.911574	2.67447	0.0291585	0.449711	0.0370718	0.205472	0.254508	0.0240793	0.08530452	0.03415346
9	0	-64.50049	-83.60125	19.10075	3.885993	0.0437965	0.0408086	0.00395218	0.0258243	0.133658	0.180911	0.0107945	0.0544128	0.06352408	-0.08725429	0.0528471	0.00190105	0.0292273	0.153662	0.083248	0.182394	0.0274377	0.0253879	0.0579907	0.101849	0.0207932	0.15739	0.00146085	0.0726895	0.0317219	0.1407544	28.4454	0.447988	0.771172	1.0844	1.69644	0.0678591	0.385386	0.020742	0.182464	0.310789	0.0327598	0.05350011	2.630918
