Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-683.1706	-536.3184	-146.8522	26.2325	2.978886	0.01877964	0.04152647	0.00693016	0.00562636	0.153194	0.0712006	0.0117184	0.00377108	0.0983258	0.0328257	0.0226816	0.014573	0.0124056	0.145477	0.0305846	0.308273	0.0824125	0.08093253	2	109.9847	0.02416474	0.387622	0.730352	1.08241	1.79962	0.20696	0.191349	0.290216	0.0866136	0.14727	0.077591	0.122459	0.6608949
1	0	-696.9847	-530.5946	-166.3901	76.5892	4.819046	0.008217829	-0.004158263	0.0358879	0.0184964	0.154938	0.0237045	0.0990781	0.0263306	0.0131789	0.0449714	0.0391277	0.0429021	0.0915663	0.0781527	0.0975166	0.192683	0.0414659	0.07795804	3	147.5869	0.007493489	0.494384	0.799491	1.0836	1.62252	0.137886	0.263125	0.13774	0.164972	0.196076	0.100201	0.07379977	1.056345
2	0	-678.7162	-526.0246	-152.6915	41.2726	3.61517	0.009165767	0.006702788	0.0391544	0.00609757	0.230631	0.0302053	0.0450572	0.00643156	0.032014	0.0628181	0.0698895	0.0475213	0.0322189	0.0708211	0.0711739	0.201024	0.0549428	0.05625804	4	100.5928	0.02047977	0.431885	0.760753	1.08423	1.72313	0.172861	0.210112	0.242298	0.132139	0.131239	0.11135	0.06296083	0.8935403
3	0	-685.692	-544.285	-141.407	16.49449	1.097033	0.014964	-0.002496928	0.0303901	0.0075125	0.21126	0.0108736	0.099852	0.00786826	0.0274731	0.0506775	0.0670374	0.0757407	0.037859	0.0429219	0.0197056	0.155974	0.154855	0.1051641	5	101.1102	0.01657875	0.155898	0.504093	1.01439	2.32562	0.189582	0.189809	0.193538	0.144663	0.166086	0.116322	0.1026672	1.024321
4	0	-674.704	-531.2719	-143.4321	19.45	2.656866	0.01395978	0.009571729	0.0420994	0.00595039	0.15756	0.0219419	0.06127	0.0094362	0.106385	0.0836657	0.10759	0.0356283	0.0366129	0.049905	0.0970209	0.0859173	0.0990171	0.2827705	3	88.60911	0.01356868	0.360842	0.710566	1.0802	1.84839	0.185555	0.209706	0.193044	0.133328	0.176386	0.101981	0.2923422	0.9672585
5	0	-676.1204	-533.2651	-142.8553	16.30615	3.979869	0.013414	-0.01998888	0.0811713	0.0152065	0.141059	0.0905847	0.0325822	0.021529	0.0282795	0.0455773	0.0539162	0.0389373	0.0206777	0.0796767	0.019027	0.152574	0.179201	0.1388292	3	107.5405	0.01366645	0.453253	0.77451	1.0844	1.68783	0.119778	0.289898	0.145637	0.182479	0.149126	0.113082	0.1188403	1.1682
6	0	-674.4306	-546.1608	-128.2698	23.68909	1.900819	0.01564258	-0.00962649	0.0130069	0.0391992	0.267919	0.0430396	0.00446184	0.00978597	0.111965	0.0352186	0.0407641	0.0296085	0.0122918	0.0134368	0.0333421	0.161529	0.184431	0.1371979	6	83.13438	0.02319382	0.281141	0.644035	1.0673	2.00753	0.186712	0.249934	0.173078	0.144935	0.155138	0.0902017	0.1275714	1.07546
7	0	-670.1903	-533.0735	-137.1168	32.71333	3.244262	0.01214671	0.02014899	0.0504812	0.00849861	0.148016	0.0857889	0.00165852	0.0197215	0.0311956	0.0380379	0.0770808	0.0395599	0.0497269	0.0490221	0.0249309	0.210185	0.166096	0.1273873	7	117.5308	0.0247181	0.407318	0.744214	1.08348	1.76499	0.176094	0.216361	0.199748	0.199054	0.141739	0.0670034	0.1475363	0.8634302
8	0	-669.3417	-529.0401	-140.3016	14.80165	5.228166	0.0164942	-0.04335916	0.0548101	0.0493673	0.266987	0.0215707	0.023568	0.0145083	0.0509663	0.0727168	0.0540085	0.0232667	0.0259501	0.0230723	0.0578887	0.0846278	0.176691	0.1865461	6	107.675	0.0168412	0.511287	0.809229	1.08288	1.5966	0.180746	0.283461	0.192854	0.112885	0.12694	0.103113	0.1431869	1.302815
9	0	-677.0341	-526.5742	-150.4598	19.16658	3.441793	0.01432812	-0.02886405	0.0384174	0.00173173	0.154628	0.0229923	0.0322662	0.00901499	0.0545639	0.0579053	0.0410404	0.0288877	0.0192923	0.106183	0.0856364	0.164314	0.183126	0.1907636	2	93.0217	0.02595254	0.420794	0.753386	1.08397	1.74185	0.201663	0.263448	0.21126	0.0977112	0.154357	0.0715609	0.1618995	1.178284
