Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-267.2692	-248.1831	-19.08608	5.401899	0.07485262	0.008049819	0.039366	0.0983495	0.0785922	0.0143726	0.101065	0.0132048	0.0180729	0.0332747	0.135808	0.00258828	0.013232	0.0799945	0.259826	0.104837	0.00741555	0.03283589	108.7573	0.517959	0.812994	1.08254	1.58651	0.31384	0.13851	0.111868	0.107	0.1991	0.129681	0.04088571	0.8031141
100	-258.1949	-250.8116	-7.383336	1.748233	0.2025435	0.1051129	0.0253036	0.0196013	0.119344	0.00955814	0.0467591	0.0569935	0.0132649	0.0222427	0.189263	0.142742	0.036803	0.0595623	0.188654	0.0402895	0.0296192	0.01251552	19.61531	0.26125	0.62526	1.06219	2.0513	0.285541	0.222612	0.165026	0.0768243	0.128431	0.121566	0.1176284	0.1063988
200	-261.38	-250.3311	-11.04887	3.05426	0.04441081	0.02958295	0.0367621	0.0389258	0.193709	0.103463	0.0117269	0.0188154	0.0929086	0.026356	0.0730939	0.0345138	0.0118179	0.000554608	0.250788	0.0731412	0.033423	0.005744276	38.00448	0.393416	0.734489	1.08277	1.78932	0.240649	0.224253	0.132446	0.0538564	0.126662	0.222133	0.03532723	0.162602
300	-252.8342	-245.5125	-7.321649	2.809089	0.2868337	0.1359273	0.0422267	0.0024039	0.0740403	0.0353565	0.115354	0.00497057	0.169638	0.0293807	0.0410439	0.103862	0.0109614	0.00945265	0.352514	0.00796925	0.000825877	0.04628597	16.00973	0.373931	0.720378	1.0814	1.82429	0.199523	0.168445	0.166033	0.0807331	0.224873	0.160393	0.1822132	0.2540209
400	-263.0286	-254.15	-8.878507	3.76239	0.3400324	0.08962909	0.000818041	0.00337203	0.211873	0.156363	0.109373	0.00463351	0.0580344	0.0198314	0.170683	0.0368294	0.0443197	0.0571842	0.0100272	0.0793623	0.0372961	0.002980927	19.42739	0.440813	0.76657	1.08436	1.70826	0.280129	0.173493	0.113183	0.0811686	0.213053	0.138973	0.09261001	0.03218796
500	-267.4935	-249.679	-17.81449	3.942262	0.03746899	0.01334749	0.03395	0.0447543	0.114755	0.0325976	0.0459253	0.0200508	0.0561967	0.00943345	0.0888344	0.0514002	0.0451656	0.0232181	0.177636	0.250554	0.00552809	0.008411111	136.3235	0.451162	0.773189	1.08441	1.69124	0.342059	0.242408	0.100802	0.0952045	0.138511	0.0810152	0.02175861	0.3865648
600	-266.1285	-250.2502	-15.87832	3.104922	0.06275023	0.01845431	0.0652229	0.00662434	0.0586897	0.119991	0.146051	0.0190321	0.0814543	0.0101591	0.000407451	0.00721122	0.112855	0.0709497	0.122055	0.0503746	0.128923	0.009053328	119.3626	0.397219	0.737177	1.08299	1.78262	0.276417	0.280687	0.100777	0.084631	0.14583	0.111658	0.02750764	0.3291205
700	-261.8359	-250.0754	-11.76053	4.453022	0.1001618	0.06090118	0.0600855	0.048349	0.0786695	0.0949466	0.0756391	0.0418163	0.0190106	0.0022327	0.133493	0.0163843	0.156229	0.0107432	0.167156	0.00525157	0.0899927	0.03000264	27.9003	0.477641	0.789549	1.0841	1.64871	0.274907	0.196315	0.0875474	0.151593	0.175313	0.114325	0.09090383	0.3300482
800	-266.7837	-252.2838	-14.49997	3.185834	0.03904517	0.03440033	0.0114034	0.0622096	0.0417236	0.0580513	0.0887004	0.0254819	0.0428589	0.010262	0.0338231	0.0643594	0.021189	0.0695028	0.342055	0.109917	0.0184627	0.01151188	57.18039	0.403146	0.741324	1.08329	1.77224	0.314786	0.236381	0.058887	0.0751605	0.172137	0.14265	0.04591221	0.2507367
900	-277.5562	-248.9881	-28.56813	2.386773	0.01989081	-0.0002290499	0.0749437	0.00442666	0.0485968	0.0509312	0.186328	0.0288434	0.0340464	0.0234766	0.0107006	0.0322695	0.174252	0.0845568	0.202035	0.0151041	0.0294899	0.006271525	709.4112	0.335452	0.690709	1.07722	1.89662	0.336336	0.182851	0.0864212	0.085916	0.169779	0.138696	0.006042475	1.037907
