Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-272.7957	-240.5475	-32.24819	3.015883	6.682497	0.883739	0.368111	0.0378352	0.172403	0.521648	0.484758	0.649509	0.105481	0.00296844	0.750642	0.292869	0.281093	1.51479	0.937448	0.145819	0.685952	0.3658412	0.08599632	0.0510296	0.0312296	0.0304044	0.100834	0.0414816	0.0207992	0.0707298	0.116528	0.163631	0.0568827	0.0306087	0.136416	0.0115657	0.126886	0.0109732	0.300525	2	15.44716	0.1179752	0.559819	0.835642	1.07969	1.52485	0.256094	0.279017	0.143832	0.0877673	0.172296	0.0609938	0.3865213	0.7775121
100	-267.5902	-250.7334	-16.85681	1.941716	3.036358	0.257842	0.248563	0.0226077	0.16636	0.747415	0.0374049	0.11959	0.149809	0.00776779	0.306141	0.556702	0.0778446	0.189321	0.298609	0.0210965	0.058268	0.2198279	-0.002583862	0.00548007	0.00349071	0.176517	0.0393651	0.100467	0.0351286	0.0733414	0.0334167	0.0615991	0.0456092	0.0385386	0.261791	0.00546697	0.035732	0.0840555	0.2877813	1	22.28895	0.1048092	0.392055	0.733521	1.08269	1.79173	0.217773	0.175984	0.216854	0.10535	0.233342	0.0506977	0.2851975	1.00906
200	-271.4683	-242.9427	-28.5256	0.3870373	1.488852	1.02065	0.623684	0.018797	0.194517	0.0623243	0.462983	0.5782	0.13738	0.485205	0.887703	0.0732803	0.367381	0.00164229	0.147842	0.0881082	0.921576	0.4306297	-0.1085121	0.0178095	0.0535658	0.244289	0.110561	0.0206346	0.017303	0.0838401	0.0548917	0.104832	0.160291	0.00147042	0.0899382	0.01999	0.0133949	0.00718918	0.4109768	2	22.57664	0.1236047	0.223595	0.58669	1.04976	2.13995	0.202226	0.223407	0.145464	0.0766978	0.262817	0.0893881	0.3024647	1.358759
300	-263.3462	-240.6342	-22.712	0.420879	2.908911	0.405329	0.453191	0.00714645	0.00608075	0.10942	0.529305	0.560066	0.0942237	0.0720981	0.25544	0.0067235	0.000685085	0.231337	0.154195	0.0648513	0.578027	0.2293717	-0.002722129	0.0222805	0.0603901	0.120143	0.0789512	0.0801098	0.0200675	0.0746176	0.0607469	0.10454	0.141296	0.0155782	0.14338	0.0609629	0.0103222	0.00661391	0.1737835	1	23.26517	0.1471963	0.38209	0.726357	1.08203	1.80953	0.205871	0.212143	0.174015	0.0872003	0.238667	0.0821038	0.1710613	1.015913
400	-262.5094	-248.5073	-14.00204	1.045429	1.437871	0.180848	0.249884	0.0221223	0.0199657	0.0747217	0.20697	0.163501	0.351521	0.0261174	0.226734	0.253945	0.330326	0.0630462	0.147697	0.0488663	0.441966	0.1737846	-0.001552944	0.027083	0.0848493	0.0491286	0.0687006	0.00996949	0.0766304	0.0359958	0.060262	0.210914	0.0669171	0.0221135	0.108353	0.0333638	0.1108	0.0349187	0.3190291	3	25.57005	0.05959397	0.215563	0.577877	1.04655	2.16	0.155269	0.267118	0.111631	0.162249	0.243058	0.0606763	0.3174762	1.004892
500	-259.9111	-248.1697	-11.7414	0.8294565	1.732545	1.14278	0.171106	0.042901	0.0260708	0.254151	0.262748	0.231975	0.430587	0.0126419	0.117954	0.179475	0.11981	0.0393456	0.370448	0.0295105	0.238077	0.2137582	0.008780224	0.00633174	0.0145196	0.100765	0.0170158	0.0498898	0.0145877	0.0915215	0.0119347	0.213615	0.0586581	0.0520929	0.160582	0.0450845	0.127574	0.0358273	0.2213596	3	18.20359	0.04814164	0.259116	0.623184	1.06159	2.05611	0.252853	0.22051	0.120528	0.100797	0.255517	0.0497941	0.2301399	0.9618483
600	-274.2962	-248.513	-25.78321	2.275855	4.42086	0.0319592	0.114429	0.0235317	0.0323397	0.877274	0.0463217	0.389012	0.266634	0.00353566	0.219708	0.866071	1.29638	0.386705	0.0369731	0.261734	0.00537424	0.2657675	-0.02720682	0.0390119	0.122262	0.136331	0.0331773	0.123108	0.000203709	0.060971	0.135266	0.194609	0.0440209	0.00660968	0.0204962	0.0195069	0.0595869	0.00483997	0.2346913	1	20.59235	0.04458655	0.476087	0.788611	1.08413	1.65117	0.272572	0.197717	0.151948	0.130085	0.187079	0.0605988	0.2074844	1.131127
700	-269.1999	-249.5016	-19.69833	1.451983	1.748882	0.455006	0.155102	0.0388718	0.00775394	0.0162821	0.0923107	0.360795	0.0349556	0.00365852	0.0838559	0.540427	0.0566086	0.0134296	0.035482	0.0966761	0.0972658	0.1589098	0.01148593	0.158814	0.0289327	0.0797056	0.152302	0.00807763	0.0658694	0.112412	0.0195543	0.127975	0.0463147	0.00384339	0.0362567	0.00479373	0.0533105	0.101837	0.09254446	1	31.62935	0.1093142	0.261338	0.625345	1.06222	2.0511	0.262999	0.221082	0.19245	0.0834779	0.206249	0.0337421	0.1040304	0.8895906
800	-267.3045	-248.8047	-18.49987	2.319047	2.261711	0.759381	0.306183	0.0362421	0.0414939	0.0263675	0.151924	0.0969184	0.264505	0.04264	0.246229	0.561171	0.0257738	0.0925251	0.196288	0.0304591	0.151276	0.163132	0.01619212	0.00805118	0.00559967	0.10501	0.0901972	0.026874	0.013826	0.0325212	0.106263	0.0573945	0.0391443	0.0837942	0.270961	0.0747791	0.0253169	0.0602671	0.2005428	0	27.93349	0.08419086	0.322634	0.68024	1.07534	1.92178	0.224083	0.263073	0.183545	0.0992405	0.199636	0.030422	0.216735	0.9252907
900	-269.2857	-254.6141	-14.67157	5.397052	2.070998	0.191005	0.188682	0.0102771	0.0313622	0.372412	0.0710638	0.382165	0.194988	0.0125082	0.0867875	0.115062	0.302779	0.0559914	0.0795341	0.20812	0.335794	0.2207917	0.05931287	0.0160419	0.0173787	0.111008	0.14557	0.017327	0.0213644	0.0119476	0.0519115	0.0543157	0.084359	0.0105193	0.0743419	0.018808	0.322034	0.0430722	0.208394	1	19.82178	0.07438403	0.301605	0.662357	1.07167	1.96437	0.133092	0.306002	0.209277	0.0768739	0.188657	0.0860972	0.2677069	0.778441
