Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-210.4378	-231.5052	21.06738	0.9316361	0.115055	0.0716199	0.0114269	0.0453147	0.009115	0.0973874	0.0529795	0.164784	0.246214	0.0304452	0.0809542	0.0238166	0.10768	0.0700047	0.08840122	0.0794526	0.024151	0.0205287	0.375025	0.00277356	0.0757906	0.00125888	0.0674061	0.038177	0.22734	0.0348178	0.00544542	3.63492e-05	0.0185858	0.0678122	0.0408515	0.003424248	18.831	0.12312	0.455193	0.987679	2.43401	0.177583	0.171663	0.238082	0.0622243	0.277384	0.0730631	0.08287685	0.04131731
100	-233.3784	-240.939	7.560648	0.4495198	0.117664	0.506753	0.11574	0.122497	0.068748	0.0254454	0.18006	0.467371	0.0427606	0.41027	0.144558	0.63793	0.138724	0.20524	0.233083	0.06916888	0.130834	0.209868	0.064944	0.0819762	0.00314631	0.0145158	0.00298863	0.00871235	0.0235621	0.0961674	0.0905842	0.0899562	0.0219942	0.13876	0.0219902	0.01010658	13.9957	0.0244582	0.21769	0.779754	2.9781	0.165548	0.150556	0.201632	0.0644567	0.311364	0.106443	0.07927546	0.1274869
200	-219.982	-235.2872	15.30521	1.243032	0.259768	0.186242	0.0245055	0.0441954	0.0818957	0.16503	0.124738	0.475734	0.102077	0.00452879	0.165579	0.00757581	0.060658	0.226479	0.08941708	0.1022305	0.0549272	0.0478395	0.0431353	0.0536908	0.12498	0.0111392	0.0144202	0.0458256	0.0990857	0.0698668	0.00133428	0.0690565	0.0413163	0.241208	0.0821752	0.06584662	6.558086	0.182765	0.539331	1.03094	2.24696	0.119679	0.157949	0.243946	0.0675088	0.233012	0.177905	0.1680771	0.3917644
300	-205.5496	-235.7835	30.23388	1.251587	0.0165585	0.0493777	0.0391446	0.0043081	0.0915018	0.0639963	0.00537592	0.0367123	0.0384599	0.0762959	0.00897919	0.0255923	0.0314234	0.0321904	0.02841962	0.04055129	0.10892	0.100608	0.0940308	0.0652686	0.10119	0.00978949	0.00316884	0.0626978	0.0537234	0.134037	0.0107724	0.0433268	0.000608413	0.143365	0.0684942	0.001747674	20.7801	0.184277	0.541208	1.03176	2.24275	0.102561	0.282841	0.19013	0.04651	0.294785	0.0831729	0.04229896	0.04131717
400	-191.3868	-232.063	40.67621	1.05816	0.00543983	0.00801937	0.00599982	0.000279813	0.00220732	0.00965386	0.00545251	0.0329999	0.00378916	0.023322	0.00891659	0.00731662	0.00286813	0.00655609	0.007769891	0.008496624	0.0955203	0.0608315	0.0127068	0.0230083	0.0461625	0.0194837	0.0070894	0.0195773	0.31075	0.0775202	0.0062552	0.0141924	0.0699123	0.113739	0.123251	0.001318596	151.0341	0.14841	0.493561	1.00901	2.34902	0.184582	0.176209	0.217146	0.0783729	0.264069	0.0796207	0.00981522	0.134342
500	-206.9834	-233.4234	26.43998	1.099447	0.137649	0.0368137	0.0562451	0.0254765	0.044309	0.0188388	3.63291e-05	0.066921	0.0440187	0.0384446	0.0201798	0.0251467	0.0127373	0.0408829	0.0450509	0.1241279	0.0831686	0.0180676	0.0206435	0.0555308	0.0333399	0.0184412	0.0858743	0.0647917	0.118298	0.163936	0.000309312	0.0121201	0.0468511	0.145956	0.132672	0.1106506	15.53248	0.156358	0.50473	1.0147	2.32421	0.189757	0.151939	0.194239	0.0746949	0.283597	0.105774	0.2347785	0.4712979
600	-230.6363	-241.3562	10.71995	2.204664	0.402898	0.00897711	0.0147837	0.128774	0.41024	0.19864	0.174919	0.159706	0.0403191	0.142043	0.39338	0.373006	0.347304	0.144819	0.2460223	0.3208505	0.068263	0.0782046	0.152893	0.0384738	0.0369499	0.0208568	0.0924853	0.0499326	0.00762531	0.0818294	0.0141479	0.00438964	0.107198	0.232207	0.0145434	0.01150506	3.302138	0.31654	0.67515	1.07436	1.93395	0.256556	0.219217	0.160721	0.0871169	0.178815	0.0975742	0.3323555	0.03461671
700	-216.3135	-234.644	18.33059	2.407491	0.149157	0.00892759	0.309102	0.0526574	0.0125937	0.0791871	0.000572295	0.154746	0.0641329	0.0302939	0.108632	0.0017862	0.26128	0.000253063	0.08547934	0.06563425	0.0750897	0.0100584	0.152326	0.0836048	0.0724152	0.00672821	0.0586086	0.0502152	0.192379	0.0942117	0.0330738	0.00854232	0.0134244	0.0401319	0.109191	0.07777699	11.64032	0.337507	0.692359	1.0775	1.89264	0.170666	0.111057	0.257818	0.0499665	0.304616	0.105877	0.1434112	0.5423354
800	-198.0875	-230.541	32.45359	1.076364	0.0522342	0.00721961	0.0367115	0.0560894	0.0277703	0.019114	0.123672	0.00688642	0.0171661	0.00772771	0.0342687	0.0203134	0.0454988	0.0204939	0.04298821	0.04827165	0.0630826	0.0798793	0.0947575	0.0376453	0.0824728	0.0119087	0.00853249	0.028346	0.140332	0.169823	0.0196277	0.0265966	0.020795	0.0703664	0.145835	0.005077814	19.96627	0.151934	0.49856	1.01158	2.33792	0.104841	0.192467	0.232726	0.0773772	0.254751	0.137836	0.05334946	0.09518024
900	-214.7839	-235.678	20.89412	0.7536304	0.0154707	0.0751049	0.0108186	0.086218	0.0862631	0.0197816	0.161538	0.0406027	0.0145967	0.0200178	0.0962464	0.100631	0.0377215	0.000742853	0.05174085	0.04559875	0.104978	0.021024	0.112433	0.0594522	0.0205415	0.0401005	0.0078796	0.107054	0.150479	0.0548085	0.0155289	0.0399633	0.0150164	0.195888	0.054854	0.02108534	34.4995	0.0856612	0.387773	0.943229	2.58334	0.156416	0.147774	0.235914	0.0869741	0.279057	0.0938644	0.06668409	0.3161975
