Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-514.6335	-371.373	-143.2605	14.26499	5.070887	0.06056138	-0.1607669	0.106354	0.033398	0.00811125	0.129559	0.030321	0.0431162	0.204045	0.00253988	0.0409638	0.0305303	0.153356	0.013328	0.0490094	0.106656	0.0487116	0.5898208	11	17.54499	0.1245043	0.504995	0.805639	1.08318	1.60619	0.153301	0.19397	0.185991	0.0933748	0.201151	0.172211	0.4290539	1.374701
100	-504.57	-370.6319	-133.9381	12.44109	3.710617	0.06787293	0.05659949	0.0246866	0.0159439	0.0179434	0.218492	0.0751026	0.0345913	0.101935	0.0016074	0.139445	0.000827386	0.1514	0.0664421	0.0341642	0.08984	0.027578	0.5781321	10	16.67966	0.1968198	0.437722	0.764567	1.08432	1.71339	0.137091	0.131105	0.267389	0.108417	0.208428	0.147569	0.6347316	0.9108292
200	-513.0827	-369.7737	-143.309	13.6014	7.183764	0.05424568	-0.008010676	0.0666021	0.0593967	0.0415631	0.229584	0.0107962	0.0621668	0.151842	0.00391991	0.131233	0.0062507	0.10367	0.00553497	0.00191647	0.0947477	0.0307765	0.7126205	14	16.4227	0.1223226	0.573421	0.842659	1.07853	1.5054	0.12372	0.143958	0.215798	0.0759875	0.29942	0.141116	0.7046098	1.011369
300	-504.747	-364.5672	-140.1798	13.916	5.709758	0.05749734	0.03133516	0.0446977	0.0384445	0.0247173	0.0692737	0.00854401	0.0561783	0.102868	0.00524555	0.14346	0.107252	0.144863	0.0192376	0.0386171	0.0891529	0.107447	0.5388809	12	15.26429	0.140889	0.529129	0.819198	1.0819	1.56978	0.236803	0.141759	0.205165	0.110732	0.235426	0.0701156	0.5702161	0.9450469
400	-516.5791	-376.221	-140.3581	14.30844	2.175153	0.04383594	0.03614435	0.0146198	0.0554558	0.042015	0.0864162	0.00389985	0.0506996	0.255168	0.00129325	0.0852837	0.0351456	0.134215	0.025711	0.00350249	0.115578	0.0909972	0.5061307	15	15.7989	0.2028873	0.313323	0.672434	1.07381	1.94043	0.165769	0.164401	0.195567	0.126731	0.256563	0.0909688	0.542275	0.9333468
500	-537.6137	-380.2855	-157.3281	16.69931	4.285612	0.05626971	-0.01140369	0.0565588	0.0288187	0.145956	0.0939775	0.000332164	0.00772113	0.109264	0.015315	0.138934	0.142343	0.102925	0.00721244	0.0415291	0.0209469	0.0881668	0.4559324	13	19.71599	0.156437	0.469396	0.784541	1.08426	1.66181	0.146288	0.184334	0.173419	0.130775	0.279931	0.0852523	0.4445287	1.025653
600	-515.671	-387.3101	-128.3609	10.45925	5.304208	0.07323344	0.09651667	0.0553358	0.061001	0.0582567	0.127954	0.0185475	0.0126935	0.0848799	0.00392216	0.135993	0.0765573	0.178668	0.0292832	0.0223174	0.0535996	0.0809905	0.8097939	12	11.98404	0.1468104	0.514242	0.810902	1.08274	1.59212	0.123627	0.348484	0.143414	0.077222	0.182473	0.12478	0.9063105	0.893506
700	-527.8901	-377.1135	-150.7766	15.98673	7.337132	0.0452132	0.131857	0.0554373	0.10569	0.0855146	0.0693755	0.000533251	0.0707344	0.144006	0.0301054	0.0967295	0.0795306	0.0748077	0.0260837	0.0201443	0.0877151	0.0535923	0.4657238	12	17.38724	0.1227267	0.577332	0.844647	1.07817	1.49985	0.127113	0.12545	0.237654	0.0767249	0.294114	0.138944	0.5975807	0.7793487
800	-525.1556	-366.8967	-158.259	20.09969	4.296891	0.03317898	0.05640709	0.0173677	0.0489179	0.0437001	0.111277	0.0235511	0.0210841	0.313211	0.00781742	0.127778	0.019175	0.0456692	0.00739529	0.0195921	0.162181	0.0312828	0.4501439	10	22.91241	0.1523205	0.469964	0.784888	1.08425	1.6609	0.1279	0.17126	0.262075	0.0619688	0.286194	0.0906024	0.506551	0.8886448
900	-522.8877	-372.2401	-150.6476	21.01866	1.646184	0.0429439	0.008608908	0.0607992	0.0315903	0.103078	0.111944	0.0435638	0.0373997	0.279926	0.00533513	0.0910326	0.0200603	0.106498	0.0147345	0.00908752	0.0345209	0.0504311	0.7190779	9	21.52004	0.0604548	0.247047	0.611209	1.05797	2.08378	0.189486	0.0936132	0.194916	0.0820192	0.326387	0.113578	0.7276869	0.9881695
