Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-587.2921	-529.8219	-57.47021	11.32282	1.591469	0.0478984	0.1309	0.223259	0.0222833	0.135923	0.17465	0.181217	0.301679	0.0377673	0.0235588	0.0795006	0.103339	0.0157591	0.217403	0.058888	0.0107167	0.164573	0.164294	0.124222	0.00496044	0.0955311	0.280774	0.096235	0.556935	0.1721	0.102385	0.0175126	0.104122	0.0222195	0.0679371	0.499525	0.123801	0.032785	0.0894741	0.0750382	0.0372162	0.177784	0.11654	0.1082458	-0.01060104	0.157999	0.176658	0.0841074	0.00982431	0.0555042	0.0539371	0.0638343	0.0249612	0.0114973	0.150757	0.0586547	0.0521606	0.0178208	0.0705643	0.0117207	0.4590008	4	33.53887	0.05338727	0.239113	0.603106	1.05537	2.10241	0.119572	0.120263	0.0820945	0.272935	0.215008	0.190127	0.4483998	1.023642
1	0	-583.017	-537.174	-45.8431	12.14836	0.8109436	0.0909584	0.153199	0.370764	0.0717897	0.0701326	0.0404115	0.00347213	0.153	0.119859	0.0913392	0.123974	0.275343	0.00223472	0.0117642	0.0517241	0.00785999	0.409617	0.000711096	0.0144678	0.0311486	0.0821813	0.0237439	0.0809295	0.197317	0.00146182	0.132971	0.0148079	0.0117608	0.148377	0.0801631	0.268138	0.00393053	0.125514	0.0322919	0.236114	0.114645	0.108595	0.0603607	0.09395544	-0.01707775	0.0166467	0.19213	0.035557	0.0100773	0.121836	0.0900766	0.148108	0.00860199	0.0225711	0.0223236	0.0151352	0.130766	0.0738946	0.0753948	0.0368806	0.4625816	0	30.99273	0.07217972	0.0978852	0.411503	0.959942	2.53067	0.182264	0.109663	0.14695	0.285485	0.136715	0.138923	0.4455038	1.038334
2	0	-568.9724	-525.1537	-43.81861	7.687227	2.805554	0.046885	0.00754749	0.0146405	0.0160024	0.068644	0.32225	0.150138	0.270459	0.170916	0.287644	0.0983834	0.108453	0.072304	0.198255	0.000432794	0.090573	0.425815	0.223697	0.0365708	0.00177578	0.0317431	0.0197298	0.161688	0.376841	0.00895005	0.0503139	0.112564	0.240907	0.142563	0.0220624	0.0734192	0.0175854	0.146666	0.185732	0.159571	0.0474469	0.0997033	0.0481124	0.1036741	-0.02256122	0.107432	0.259422	0.0599005	0.0203512	0.0298902	0.133057	0.0401131	0.0111828	0.00557427	0.0667322	0.0928952	0.0840035	0.0317282	0.0454796	0.0122389	0.4048128	5	30.80813	0.1207841	0.373637	0.72016	1.08137	1.82483	0.110068	0.138017	0.0625227	0.330273	0.152449	0.206671	0.3822516	1.059022
3	0	-585.1491	-522.7614	-62.38771	9.42076	2.127392	0.0212278	0.0417531	0.119497	0.0884672	0.0536427	0.0286569	0.280823	0.06761	0.380108	0.344342	0.0695214	0.0988363	0.0679604	0.05273	0.178332	0.0228227	0.0543574	0.0349077	0.127957	0.000172234	0.269773	0.543111	0.102136	0.0739468	0.0470033	0.00737898	0.165072	0.233845	0.129789	0.212178	0.198088	0.00107104	0.0578145	0.101649	0.226515	0.214974	0.19451	0.272194	0.1402194	0.01150658	0.0902701	0.240292	0.0226608	0.0354896	0.0647075	0.0707078	0.0729117	0.00942224	0.0254772	0.113359	0.0611184	0.0651455	0.0370189	0.072864	0.0185547	0.3878245	2	30.79826	0.07239409	0.308022	0.667911	1.07287	1.95119	0.105395	0.107385	0.099971	0.342871	0.144991	0.199387	0.3993311	0.9711854
4	0	-573.4536	-530.339	-43.1146	6.224718	2.289683	0.0100355	0.146328	0.0632775	0.000694634	0.0277148	0.0999902	0.245259	0.167724	0.0653545	0.055686	0.0382864	0.140519	0.0896536	0.0131498	0.168433	0.0618776	0.0319766	0.0175512	0.307593	0.0549156	0.102906	0.0140328	0.0179248	0.215245	0.0320805	0.234654	0.0613419	0.00601023	0.0327411	0.0632585	0.0929859	0.113598	0.148238	0.173198	0.0569018	0.119997	0.17266	0.112534	0.08206051	0.05442476	0.226183	0.0979878	0.036717	0.0437389	0.0162811	0.0323272	0.142022	0.0295212	0.0577936	0.132405	0.0812313	0.0318629	0.0172354	0.0513519	0.00334196	0.2973191	3	29.5181	0.06540157	0.325564	0.682661	1.0758	1.91598	0.17947	0.094946	0.0858948	0.287276	0.184848	0.167564	0.3517439	0.8452716
5	0	-609.0054	-534.7798	-74.22558	6.333819	2.043425	0.0162502	0.329374	0.00810813	1.12935	0.242947	0.0351779	0.202406	0.341935	0.15664	0.132968	0.317759	0.130705	0.795426	0.172294	0.308846	0.00539841	0.272008	0.119762	0.101747	0.0472247	0.212931	0.125182	0.0898355	0.117798	0.157567	0.0646919	0.110384	0.411948	0.315098	0.0708104	0.235786	0.0867495	0.0455104	0.360098	0.11426	0.30967	0.729093	0.0623046	0.1908976	0.1355319	0.0404085	0.0667936	0.095869	0.0787154	0.0550662	0.0981598	0.153556	0.000210399	0.0194241	0.0965612	0.127547	0.0369829	0.0858092	0.040047	0.00484973	0.3246439	3	28.11741	0.08763014	0.298404	0.659553	1.07104	1.971	0.181308	0.115368	0.105476	0.267232	0.150515	0.180102	0.4601758	0.705478
6	0	-606.7484	-530.1272	-76.62116	11.38237	2.074352	0.272756	0.4379	0.0127342	0.10112	0.128384	0.137152	0.316688	0.246215	0.949027	0.142842	0.0752308	0.208718	0.160058	0.265866	0.0471957	0.0997187	0.114444	0.102832	0.150286	0.0278514	0.000761969	0.111367	0.376844	0.45059	0.056932	0.115177	0.572636	0.17593	0.0236162	0.10472	0.182926	0.319163	0.0369816	0.0900559	0.172061	0.332242	0.124401	0.216434	0.1770144	0.004827374	0.143169	0.0776665	0.0980096	0.00664465	0.0237757	0.0306515	0.110883	0.0902731	0.00705904	0.114544	0.192194	0.0390587	0.0342966	0.0201671	0.0116086	0.2207984	4	34.1622	0.06936085	0.301992	0.662694	1.07174	1.96357	0.138349	0.125974	0.0866266	0.284219	0.142651	0.22218	0.2256257	0.9786045
7	0	-607.4553	-524.0478	-83.40756	4.099831	0.9470207	0.266583	0.401033	0.0102456	0.315827	0.0565457	0.227711	0.510616	0.534324	0.756957	0.225754	0.084083	0.3613	0.450132	0.197011	0.279807	0.123948	0.315555	0.121801	0.665256	0.174662	0.657575	0.59576	0.179425	0.000486845	0.0155389	0.0741245	0.0875305	1.0361	0.0646612	0.00579515	0.170135	0.823765	0.0434048	0.0754103	0.0207523	0.117132	0.274166	0.249658	0.246973	0.0333196	0.319956	0.211973	0.0468564	0.0146935	0.0218679	0.0209664	0.119907	0.038816	0.0426153	0.00302281	0.0603545	0.0515055	0.00166341	0.0421141	0.0036893	0.3562179	3	30.05473	0.06939997	0.126266	0.460227	0.990635	2.42287	0.135539	0.117663	0.0789399	0.30671	0.186165	0.174982	0.3895375	0.9144637
8	0	-613.6163	-537.1676	-76.44871	4.56883	0.5494142	0.0624873	0.0830719	0.0569787	0.757114	0.233034	0.0491495	0.210974	0.245958	0.368382	0.289538	0.175603	0.449881	0.190676	0.0010959	0.177518	0.0633881	0.210318	0.431334	0.0418275	0.200721	0.217875	0.242304	0.135923	0.0163887	0.620548	0.103233	0.615436	0.289787	0.0979339	0.283952	0.364748	0.00689162	0.137766	0.131462	0.299008	0.0968643	0.00554612	0.0367069	0.2169583	-0.01753422	0.0265405	0.0734844	0.138772	0.0376963	0.0679101	0.0762794	0.109924	0.0116633	0.0141929	0.179927	0.025972	0.0766976	0.126772	0.00856259	0.0256062	0.3269784	2	34.81172	0.06112032	0.0428725	0.282956	0.853142	2.82103	0.146487	0.1592	0.118592	0.258835	0.089894	0.226992	0.3094441	1.056664
9	0	-607.3094	-540.279	-67.03046	5.433693	1.059671	0.0994089	0.228391	0.125952	0.043789	0.0331852	0.0657846	0.277803	0.537093	0.138477	0.221591	0.029527	0.183252	0.0269695	0.0220292	0.0646703	0.000802552	0.145055	0.0645421	0.057923	0.0102386	0.0467829	0.236059	0.316869	0.10083	0.00849164	0.594572	0.586496	0.0845837	0.261018	0.142747	0.00456602	0.417567	0.0873153	0.0110536	0.124196	0.458428	0.00471323	0.322381	0.1623932	0.09173549	0.00365491	0.150683	0.208682	0.0627698	0.0912946	0.0355203	0.267729	0.0283003	0.00751005	0.00142704	0.00978183	0.026876	0.0549371	0.0424954	0.00833804	0.3843497	4	27.81093	0.1133841	0.148704	0.493981	1.00922	2.34809	0.112856	0.108776	0.154751	0.330916	0.100135	0.192568	0.4760852	0.8073129
