Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-356.7539	-309.1354	-47.61847	7.59741	5.115372	0.0483282	0.179089	0.39847	0.12302	0.0101824	0.00440466	0.112009	0.496597	0.00160154	0.0278435	0.184061	0.106308	0.441805	0.0661173	0.357408	0.0942199	0.205055	0.0110492	0.17747	0.0282808	0.0667625	0.00823977	0.0990315	0.0236942	0.12744	0.0996993	0.213247	0.499452	0.00452366	0.0255041	0.151859	0.051136	0.348018	0.135795	0.0779204	0.0105406	0.119816	0.0828574	0.0147207	0.00139934	0.00333981	0.000339068	0.602535	0.212016	0.1269022	0.04257785	0.0780467	0.0129428	0.00527376	0.0394211	0.0952355	0.00903666	0.121818	0.000475915	0.01696	0.00942196	0.395522	0.00534608	0.124537	0.0679865	0.0179761	0.4099376	7	8.531076	0.2180079	0.5068	0.806673	1.08309	1.60343	0.294785	0.252762	0.0891766	0.0992598	0.148753	0.115263	0.4525154	0.9059085
1	0	-372.3114	-319.2124	-53.09895	5.975251	6.476894	0.104402	0.198785	0.173676	0.246313	0.0846199	0.0870759	0.0614592	0.0952018	0.0610902	0.00130355	0.0548924	0.0515503	0.407861	0.0726191	0.734258	0.115875	0.0609384	0.00970746	0.289443	0.162208	0.136645	0.00549177	0.424309	0.0722806	0.5021	0.405667	0.0354517	0.0734447	0.209349	0.170255	0.126497	0.224023	0.21901	0.379272	0.420608	0.103448	0.00932452	0.0942783	0.0489817	0.036763	0.00445711	0.0250789	0.440755	0.0218359	0.2104768	0.1062324	0.0766694	0.0150871	0.0401506	0.0721697	0.0166074	0.0144692	0.0482739	0.0136541	0.0640944	0.203436	0.286188	0.0666548	0.0101543	0.0709192	0.00147139	0.4797469	7	7.227408	0.1151061	0.553843	0.832507	1.08017	1.53348	0.284457	0.30167	0.122513	0.0507767	0.126908	0.113675	0.5859793	0.8187096
2	0	-360.5178	-320.1451	-40.37269	6.720433	3.688819	0.342616	0.0488011	0.0685885	0.370827	0.0795674	0.154446	0.00301537	0.253267	0.132213	0.581819	0.0572124	0.0365252	0.000354766	0.0688605	0.150939	0.0246805	0.00704569	0.120043	0.0136628	0.0214139	0.000933742	0.0183692	0.0882922	0.0137978	0.0317587	0.124994	0.221867	0.0276853	0.0666815	0.0888171	0.0230911	0.263596	0.125819	0.184441	0.0418385	0.110954	0.46931	0.172581	0.167705	0.273889	0.0146586	0.358411	0.0323457	0.183065	0.1347101	0.07733687	0.138684	0.0342504	0.00753197	0.0541858	0.0186738	0.0182656	0.132665	0.00371004	0.0246927	0.131723	0.254728	0.0137173	0.0398641	0.0979894	0.0293194	0.4336094	7	8.47103	0.2822105	0.436405	0.763711	1.08431	1.71558	0.191031	0.305486	0.123424	0.114788	0.0912975	0.173974	0.5109463	0.8486399
3	0	-363.4781	-314.409	-49.06909	9.114624	3.316648	0.0012348	0.500459	0.199376	0.387411	0.201171	0.086696	0.00564691	0.0276644	0.0221863	0.0162674	0.0951605	0.0302295	0.556798	0.00379874	0.753433	0.0322676	0.0192621	0.276083	0.385721	0.137139	0.0596549	0.00983556	0.0143182	0.340437	0.0856149	0.247427	0.00891849	0.0174706	0.0759757	0.268849	0.0411634	0.0504172	0.00978029	0.020892	0.166208	0.05774	0.0888607	0.0232398	0.0635986	0.10157	0.0032904	0.0653838	0.410871	0.125238	0.1442726	0.085148	0.149321	0.000293959	0.0180894	0.0106017	0.0107622	0.0759146	0.0318309	0.000689063	0.146291	0.0635128	0.247379	0.0187721	0.13053	0.0795945	0.0164175	0.7097521	8	9.464682	0.08050683	0.412366	0.747679	1.08369	1.75627	0.150163	0.289767	0.107002	0.114628	0.195573	0.142868	0.7949001	0.8928821
4	0	-370.0169	-308.969	-61.04796	5.037781	4.253293	0.00447451	0.253286	0.104842	0.112109	0.0509768	0.196395	0.149591	0.310945	0.0306539	0.244825	0.396652	0.00919015	1.22985	0.0276405	0.914109	0.163969	0.131906	0.0868812	0.616498	0.0383498	0.277566	0.0303621	0.103738	0.0701946	0.122273	0.0380846	0.00609548	0.0498194	0.164817	0.00654555	0.0297786	0.0493918	0.377038	1.53045	0.46954	0.442647	0.017101	0.0452823	0.0595475	0.138067	0.174675	0.135055	0.329411	0.0522605	0.2170903	0.01134832	0.176961	0.0165337	0.00137566	0.0377864	0.0274783	0.00226865	0.121486	0.0099126	0.0636706	0.191147	0.13928	0.0230025	0.0310979	0.152861	0.00513898	0.6901227	8	5.806052	0.2034789	0.467758	0.783537	1.08428	1.66442	0.171448	0.250261	0.177344	0.0711109	0.211753	0.118082	0.701471	0.9838221
5	0	-359.8371	-303.8077	-56.02947	6.31944	6.671871	0.0599739	0.467168	0.0114654	0.00335495	0.00118805	0.182322	0.140473	0.0783866	0.0439338	0.101416	0.105576	0.0607269	0.480263	0.0967996	0.529934	0.237999	0.030955	0.0221701	0.793777	0.18519	0.0681837	0.0810362	0.059379	0.219696	0.377166	0.105727	0.465529	0.0887047	0.021779	0.0152594	0.0214112	0.033903	0.0430175	0.466264	0.00284013	0.164551	0.326488	0.576964	2.89762e-05	0.400975	0.00908771	0.510341	0.161617	0.412972	0.2082694	0.2046474	0.0963122	0.0111725	0.0202647	0.0156249	0.0836449	0.0130955	0.102884	0.0028531	0.0426859	0.061803	0.312493	0.030719	0.123757	0.0780195	0.0046703	0.4670732	10	7.713865	0.2370941	0.559516	0.835483	1.07972	1.52528	0.238049	0.280254	0.163447	0.0436224	0.159075	0.115552	0.6717207	0.6953385
6	0	-355.9449	-318.6739	-37.27103	10.97159	6.623652	0.0633254	0.0195461	0.0541968	0.293438	0.0140561	0.0314654	0.0376684	0.025804	0.0315907	0.212375	0.0984886	0.0165972	0.17606	0.00512675	0.337183	0.0084538	0.0785916	0.0677875	0.126872	0.0278016	0.00781302	0.0170874	0.0124723	0.0634443	0.107239	0.0296201	0.0178451	0.0427482	0.0431096	0.0431472	0.0126532	0.0126456	0.0446811	0.0180795	0.186422	0.0619971	0.0215962	0.00232269	0.00152745	0.39727	0.0798874	0.171654	0.27594	0.10804	0.1112301	0.1239576	0.096976	0.109127	0.137935	0.0163421	0.0170576	0.0640956	0.127539	0.0173218	0.0813928	0.0207344	0.176042	0.0394792	0.0121519	0.0667395	0.0170676	0.2129234	7	11.09204	0.2480795	0.558134	0.834761	1.07983	1.52727	0.269485	0.275777	0.11538	0.087354	0.151052	0.100953	0.336881	0.6320433
7	0	-359.9872	-304.187	-55.80024	6.447515	2.296687	0.00444374	0.187193	0.0244852	0.320604	0.018217	0.368201	0.392281	0.0707121	0.151079	0.109597	0.168556	0.00847947	0.401803	0.0394097	0.510621	0.121685	0.067641	0.165889	0.700737	0.0165585	0.312118	0.0672029	0.0067924	0.405119	0.188615	0.0767227	0.0725786	0.0283978	0.12984	0.0596764	0.0321385	0.0345487	0.00850753	0.163903	0.541196	0.403735	0.0556988	0.00120115	0.0183471	0.0404469	0.0661384	1.15206	0.12791	0.172913	0.1408954	0.1608679	0.123703	0.0155474	0.0496156	0.0439281	0.0160186	0.00257135	0.152365	0.00257168	0.0438653	0.131416	0.257099	0.0261433	0.0429748	0.0738673	0.0183135	0.4945244	8	7.33541	0.1280433	0.326292	0.68326	1.07591	1.91454	0.216014	0.22547	0.176365	0.0700409	0.185586	0.126524	0.6553923	0.7545472
8	0	-356.0849	-314.5802	-41.50468	4.653545	6.299705	0.0119016	0.100542	0.0305755	0.231352	0.0353116	0.120558	0.127011	0.0792004	0.360858	0.32427	0.0580177	0.00208515	0.420096	0.0458308	0.78549	0.16426	0.0903837	0.0755404	0.359717	0.131568	0.156424	0.0192452	0.136299	0.107289	0.495902	0.0164247	0.257973	0.00802897	0.117634	0.0181023	0.276219	0.000181366	0.0374217	0.220976	0.0522203	0.234233	0.0519128	0.0531846	0.0697102	0.0073468	0.00389947	0.677701	0.0669568	0.0138008	0.1371108	0.09960682	0.111969	0.060326	0.0568503	0.0359304	0.0432786	0.0180003	0.136978	0.0231508	0.0744285	0.0182891	0.219017	0.00723492	0.165304	0.0179527	0.011291	0.6045714	6	5.805916	0.1727735	0.548488	0.829671	1.08058	1.54126	0.203724	0.259683	0.147741	0.0633068	0.141136	0.18441	0.7041782	0.8585488
9	0	-368.0305	-314.5531	-53.47741	8.189685	1.755553	0.0240676	0.0811229	0.0168441	0.0493199	0.0194097	0.0347153	0.136175	0.0632327	0.147223	0.0643317	0.738081	0.00267874	0.351879	0.0217901	0.452183	0.0903216	0.0947676	0.0038124	0.443376	0.0890906	0.0940533	0.0276678	0.0284815	0.00831597	0.655069	0.0103248	0.261865	0.270734	0.216179	0.00373313	0.0240761	0.0305762	0.17282	0.0252986	0.737436	0.149266	0.0145121	0.261109	0.00645441	0.446644	0.0219476	0.133668	0.712348	0.155552	0.1531141	-0.03268592	0.085537	0.0134647	0.027567	0.0242143	0.117581	0.0855217	0.0820683	0.00174928	0.0966593	0.101956	0.106061	0.004177	0.0091392	0.111932	0.132372	0.5055502	6	8.260265	0.1711802	0.26224	0.626218	1.06247	2.04907	0.264802	0.245235	0.0835183	0.0975709	0.217835	0.0910389	0.4728643	1.069123
