Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-312.2796	-299.3184	-12.96122	8.01062	0.7950365	0.0163289	0.0185654	0.00944672	0.00900966	0.0341382	0.0334076	0.0275237	0.0315738	0.0383715	0.0265953	0.0484978	0.0630748	0.207438	0.217406	0.012195	0.056504	0.00728064	0.00870079	0.1258	0.00116133	0.0264286	0.00814724	0.00906789	0.011499	0.0602077	6.67974e-05	0.0554406	0.0530958	0.0813372	0.0177875	0.0594506	0.0561784	0.0169898	0.00860419	0.0360066	0.00211723	0.22265	0.206893	0.184716	0.0340518	0.0739631	0.0816608	0.00884403	0.0528299	0.06162602	0.0305822	0.0421317	0.076584	0.022691	0.100936	0.0036859	0.0367848	0.205712	0.0248519	0.143814	0.0101958	0.200754	0.0226441	0.0903005	0.0103285	0.00858656	0.6205892	6	17.28464	0.1075428	0.0945021	0.405128	0.95557	2.5448	0.125755	0.297494	0.108911	0.113476	0.183978	0.170387	0.6511714	0.9530351
1	0	-333.7048	-294.9262	-38.77857	6.00331	3.068729	0.246844	0.000741122	0.0631611	0.0112796	0.00660067	0.121093	0.101614	0.109986	0.0774645	0.137816	0.00195083	0.0721928	0.28455	0.376921	0.00921884	0.0277058	0.0872352	0.181493	0.0661771	0.13767	0.0397647	0.000782074	0.0016429	0.0276434	0.0897063	0.214985	0.0134454	0.0172341	0.230513	0.0107908	0.249483	0.0113007	0.0257858	0.136442	0.131186	0.0425054	0.329263	0.27053	0.153881	0.0276624	0.0332521	0.152417	0.26316	0.555114	0.09037501	-0.02543919	0.0225762	0.133728	0.03238	0.0437809	0.0189842	0.000332429	0.146704	0.00471263	0.115138	0.152354	0.117779	0.033938	0.0264745	0.124492	0.0266255	0.8727247	7	7.626492	0.3041304	0.39451	0.735264	1.08284	1.78739	0.212809	0.354655	0.0917037	0.0836217	0.20422	0.0529907	0.8472855	1.030024
2	0	-302.7711	-293.1112	-9.659886	7.210566	2.018781	0.00285735	0.00343821	0.00836592	0.11359	0.0364774	0.195804	0.113024	0.0711412	0.139974	0.0743309	0.0233664	0.00546394	0.0025429	0.0208836	0.0046633	0.197638	0.0794722	0.000176066	0.0527222	0.0519748	0.0705643	0.0476381	0.14031	0.00276244	0.108666	0.0295731	0.108859	0.309172	0.0295953	0.0128374	0.0798981	0.0028133	0.0838533	0.0741572	0.00243003	0.0814188	0.00160893	0.012628	0.0202465	0.0543975	0.00929379	0.0396684	0.0962862	0.00752909	0.05274016	0.06948776	0.0237594	0.0960788	0.00772916	0.117828	0.00791316	0.00184608	0.101715	0.00771951	0.139024	0.161009	0.192195	0.0778337	0.025812	0.00224797	0.0372896	0.4720299	5	10.01642	0.2004558	0.295506	0.656996	1.07045	1.97705	0.221434	0.370041	0.0806185	0.0767809	0.167129	0.0839964	0.5415177	0.8716796
3	0	-298.1101	-282.6929	-15.41723	8.347027	2.095079	0.0126736	0.0399923	0.00865036	0.0382533	0.0438743	0.00634518	0.118578	0.00497406	0.0195863	0.0545531	0.00599562	0.0173212	0.343709	0.196103	0.0135779	0.18033	0.0262044	0.0201977	0.0326282	0.0277253	0.0153293	0.0341871	0.25157	0.00512678	0.148448	0.13398	0.0586206	0.220829	0.104555	0.0222328	0.00519186	0.0723533	0.125401	0.0145389	0.00449503	0.0477524	0.019977	0.00161974	0.0824155	0.169353	0.00451578	0.0074667	0.00358486	0.0419884	0.05308951	0.02617607	0.037108	0.107619	0.000235419	0.00465908	0.00938176	0.00149135	0.145914	0.0206643	0.0594396	0.0837082	0.181241	0.00209654	0.0358037	0.29978	0.0108578	0.513876	4	11.08852	0.0725761	0.304366	0.664758	1.0722	1.95868	0.21348	0.277146	0.111969	0.0798089	0.185167	0.132428	0.5400521	0.9515305
4	0	-333.4836	-296.2915	-37.19211	4.845186	3.646791	0.0678537	0.000725728	0.0436901	0.0049263	0.102872	0.178454	0.0673341	0.413343	0.0184696	0.0329572	0.0280354	0.249987	0.00833505	0.401554	0.0155825	0.0529552	0.121063	0.0566344	0.109043	0.0840153	0.262439	0.012591	0.118979	0.230316	0.00330589	0.0945838	0.199076	0.185945	0.290996	0.00456017	0.0517341	0.161142	0.262999	0.17798	0.0594797	0.348454	0.0191025	0.100999	0.0579941	0.0154275	0.0133395	0.498514	0.451191	0.23225	0.1423198	-0.1322888	0.0414967	0.0661443	0.0143957	0.106434	0.0119093	0.0307693	0.195396	0.000453279	0.078988	0.0127587	0.190369	0.00413522	0.132885	0.0599512	0.0539143	0.644804	10	5.632125	0.182613	0.433839	0.762035	1.08427	1.71986	0.203208	0.293295	0.191615	0.108597	0.0766051	0.126681	0.5125153	1.258117
5	0	-314.5888	-296.9239	-17.66488	6.286366	1.047115	0.0125634	0.0241674	0.119624	0.0670891	0.151011	0.0216466	0.00332368	0.0449113	0.0390094	0.313376	0.023146	0.0446512	0.00750322	0.597256	0.00831373	0.224472	0.142634	0.107963	0.0486227	0.0242799	0.0379658	0.0937023	0.0753464	0.0151801	0.309636	0.0897624	0.0396161	0.129212	0.187521	0.00587059	0.00383282	0.0143017	0.0510629	0.0572797	0.143156	0.0120549	0.0216303	0.121135	0.0134144	0.0500452	0.00631644	0.120938	0.06783	0.235285	0.08472036	-0.06889346	0.032251	0.166495	0.0821503	0.0358779	0.0205495	0.00864911	0.242334	0.0017124	0.0671858	0.0273996	0.164113	0.0190364	0.0340377	0.0493035	0.048904	0.5878041	8	8.289878	0.268605	0.146258	0.490469	1.00739	2.35588	0.131048	0.319214	0.118874	0.0942416	0.211697	0.124926	0.5189106	1.132766
6	0	-313.5018	-295.656	-17.84576	6.546232	1.157999	0.0101334	0.043434	0.0541989	0.0827532	0.0182508	0.0824233	0.0335188	0.0649165	0.0281096	0.0479887	0.0767663	0.0299724	0.0693798	0.304488	0.0529555	0.022947	0.105273	0.0139422	0.034792	0.00253055	0.0375248	0.0109132	0.0830304	0.107283	0.02727	0.166186	0.121605	0.707254	0.0546259	0.331107	0.0567701	0.0494275	0.080253	0.00135531	0.0474931	0.0610221	0.0208308	0.00200197	0.119588	0.00702577	0.0131968	0.152051	0.0196626	0.143057	0.06986724	0.2082303	0.0157098	0.0747435	0.0239296	0.0772863	0.0728928	0.0040365	0.195001	0.00820661	0.246473	0.00642478	0.0586062	0.0433649	0.0465173	0.0201967	0.106611	0.4351728	5	8.809664	0.1760584	0.167359	0.519586	1.02194	2.29112	0.175369	0.342325	0.113997	0.0972903	0.208067	0.0629509	0.6434031	0.6763611
7	0	-308.8462	-289.9261	-18.92004	6.78244	3.59958	0.0975235	0.0106536	0.010459	0.0101467	0.271492	0.044888	0.0455007	0.0848771	0.047677	0.0602076	0.0142953	0.145629	0.0242718	0.106315	0.0555009	0.0665425	0.177674	0.0194802	0.0283105	0.026962	0.0873056	0.0140471	0.0151493	0.152883	0.103271	0.396301	0.19394	0.032067	0.041089	0.0724674	0.0612816	0.0235804	0.00226806	0.0114853	0.100337	0.00464828	0.00895077	0.0861291	0.275742	0.0683395	0.0255349	0.172433	0.00470325	0.102735	0.08525896	0.07104954	0.0221697	0.144711	0.0147871	0.0640887	0.00858222	0.00164996	0.233728	0.00633098	0.141397	0.0760112	0.127793	0.0303265	0.0586847	0.0548743	0.0148664	0.457592	5	9.494366	0.1555007	0.430914	0.760115	1.08422	1.72476	0.152146	0.30637	0.125948	0.102568	0.230676	0.0822921	0.5286416	0.8655998
8	0	-332.5436	-295.4816	-37.06202	5.444597	2.849409	0.044607	0.0283716	0.226904	0.0070224	0.0874799	0.0564895	0.0192223	0.0512888	0.130212	0.133223	0.120604	0.169643	0.0470469	0.219187	0.012526	0.113866	0.372007	0.124702	0.144952	0.0258129	0.121385	0.0398561	0.258035	0.335505	0.03015	0.116402	0.57477	0.189056	0.519263	0.10407	0.039682	0.0570585	0.00225824	0.0194057	0.0386461	0.203804	0.0376491	0.025856	0.0861318	0.165862	0.026249	0.26386	0.0104835	0.23977	0.1211702	-0.06368237	0.0551309	0.101629	0.00635496	0.0888999	0.0185325	0.0114759	0.254231	0.0275409	0.0427731	0.0547992	0.0960765	0.00439004	0.0294459	0.140661	0.0680593	0.7070787	8	5.758242	0.1237306	0.377266	0.722834	1.08166	1.81824	0.222811	0.245974	0.162265	0.102319	0.154675	0.111956	0.6433963	1.098978
9	0	-296.1151	-293.9692	-2.145882	7.223955	2.082947	0.0632862	0.0184746	0.0113687	0.00477223	0.0764444	0.00660658	0.0170648	0.00342544	0.0694681	0.146974	0.0934729	0.0698475	0.030724	0.0805613	0.00317916	0.00308118	0.0526443	0.101885	0.084668	0.0194029	0.0147858	0.0120785	0.0160292	0.0421516	0.000707408	0.0159534	0.164279	0.0707129	0.130714	0.0581243	0.0379425	0.0152454	0.0481936	0.165154	0.00353664	0.0371289	0.014049	0.00908889	0.00833457	0.0826823	0.0191809	0.185821	0.00957902	0.0771646	0.05202766	0.07591096	0.0315721	0.140716	0.00510193	0.0260878	0.0418802	0.0232257	0.240635	0.0116062	0.0449217	0.0732236	0.125795	0.00613315	0.113908	0.0797195	0.0354751	0.3926004	6	8.900161	0.2042445	0.302979	0.663554	1.07193	1.96153	0.189795	0.225254	0.21176	0.0527452	0.193573	0.126873	0.4685114	0.8379741
