Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	-414.1584	-360.1765	-53.98187	10.97812	4.205079	0.161794	0.0559669	0.08629	0.0943556	0.00547028	0.339928	0.199711	0.0371452	0.00179934	0.0168819	0.0615142	0.12821	0.344122	0.0401817	0.015419	0.0412766	0.126051	0.00473537	0.0336346	0.0983423	0.0709445	0.0124656	0.0166806	0.00953762	0.0890961	0.0461971	0.032798	0.0796034	0.180616	0.0426416	0.146246	0.231596	0.229331	0.032198	0.106078	0.0107879	0.245751	0.145316	0.0229779	0.0926294	0.0178358	0.0520105	0.477947	0.00113761	0.504081	0.00184352	0.0461972	0.115239	0.272374	0.181191	0.138011	0.0234674	0.525222	0.157843	0.017847	0.107148	0.266724	0.544367	0.00833373	0.122533	0.0821266	0.0061098	0.1043576	0.1470548	0.103872	0.082594	0.0248911	0.0965013	0.023077	0.0348252	0.068319	0.017052	0.103229	0.0129042	0.131239	0.000276895	0.0821102	0.145255	0.0738546	0.5005483	15	10.9853	0.217767	0.465285	0.782015	1.08432	1.66838	0.180887	0.142702	0.250402	0.0654552	0.26787	0.0926849	0.6476031	0.7729245
100	-448.8358	-364.8936	-83.94216	9.550533	3.877411	0.0385474	0.00167483	0.637251	0.296964	0.0314798	0.692671	0.0459506	0.0060054	0.312264	0.172008	0.0221547	0.0593361	0.474598	0.0886947	0.00624971	0.0139058	0.0106303	0.0793767	0.0418578	0.428944	0.00630724	0.00243471	0.0825548	0.11038	0.0366	0.000818189	0.0445828	0.326038	0.0803936	0.203153	0.011988	0.00179543	0.0114469	0.0167911	0.267921	0.0263586	0.272538	0.123129	0.0356382	0.2027	0.148709	0.0328439	0.0678792	0.228098	0.550078	0.0281891	0.0190573	0.034267	0.488867	0.254052	0.313926	0.0249307	0.662019	0.528125	0.0791556	0.2353	0.512591	0.246993	0.00998827	0.71533	0.0743912	0.0303344	0.2096589	0.06189477	0.0782864	0.119608	0.211705	0.0763229	0.0427756	0.0358823	0.0300107	0.0034718	0.0720902	0.0989679	0.0591517	0.0032509	0.015154	0.0890064	0.0643161	0.9102114	8	17.04454	0.1251337	0.447498	0.77086	1.0844	1.69724	0.097072	0.139137	0.317988	0.0487473	0.290939	0.106117	0.9721061	0.9363292
200	-452.0292	-367.2988	-84.73035	9.933997	4.544527	0.18037	0.0147418	0.0992634	0.0017277	0.0208059	0.033979	0.0385794	0.0214897	0.116057	0.443781	0.0281472	0.31137	0.358637	0.163025	0.04035	0.0202631	0.0329369	0.0373231	0.184713	0.0515928	0.188521	0.0239131	0.0412826	0.0870829	0.172481	0.0168455	0.668062	0.015334	0.000677342	0.173727	0.16441	0.435046	0.588775	1.21553	0.332073	0.183836	0.0288656	0.010305	0.0253222	0.151885	0.0175474	0.817187	0.0322489	0.136582	0.156023	0.314468	0.278228	0.117796	0.0350006	0.0268431	0.0137811	0.398381	0.0918955	0.0269528	0.182289	0.235583	0.0477629	0.0492834	0.147231	0.0922856	0.0974836	0.0229047	0.1335817	-0.05044417	0.0335536	0.0221193	0.084022	0.0327529	0.071364	0.206665	0.00669922	0.00857063	0.143823	0.102323	0.0874465	0.0175439	0.0149468	0.15534	0.0128304	0.4733397	14	16.95743	0.2311525	0.481985	0.792158	1.08399	1.64187	0.204133	0.128837	0.230019	0.0401763	0.221076	0.175758	0.4228955	1.119283
300	-445.3327	-374.2367	-71.09605	8.99602	3.023677	0.019234	0.0192245	0.492763	0.00881197	0.0164792	0.627232	0.253894	0.341832	0.0233647	0.0490082	0.168228	0.33224	0.736218	0.0101083	0.00382112	0.0622928	0.0610767	0.0350507	0.097177	0.170863	0.119233	0.0798808	0.0902522	0.296762	0.00302643	0.0953294	0.0707601	0.50205	0.0395095	0.0304733	0.23874	0.143804	0.0724801	0.0206302	0.408404	0.0598514	0.211693	0.00355115	0.0425374	0.552859	0.0627068	0.0320741	0.657202	0.150482	0.149485	0.00338325	0.11426	0.121284	0.306446	0.227618	0.41508	0.0306676	0.00643379	0.863973	0.0737709	0.0165081	0.139396	0.0579496	0.00196119	0.0643161	0.273709	0.283447	0.153514	0.1078398	0.105146	0.164379	0.0957447	0.0650249	0.058396	0.0329952	0.0494653	0.0256102	0.107788	0.0681128	0.0509491	0.0163212	0.100877	0.0303665	0.0288239	0.6094931	15	10.62138	0.2022349	0.391085	0.73283	1.08263	1.79345	0.0827982	0.17095	0.249467	0.0471551	0.314379	0.135251	0.7173329	0.8496656
400	-440.4316	-359.5046	-80.92698	13.67474	5.47293	0.00328518	0.0349626	0.0177269	0.106252	0.0105655	0.219323	0.0036713	0.582286	0.0634919	0.0315489	0.358126	0.00944597	0.222356	0.00358064	0.0744421	0.0255493	0.134473	0.302656	0.0393314	0.289645	0.287152	0.0253123	0.0306807	0.144339	0.229391	0.0283498	0.0853011	0.0889189	0.102049	0.163283	0.0741894	0.0398626	0.146612	0.0109155	0.164993	0.0563986	0.123062	0.0615404	0.0456026	0.0646914	0.082235	0.0132742	0.411594	0.00590092	0.163932	0.0813505	0.139622	0.160559	0.52681	0.520508	0.0642698	0.17231	0.459506	0.185082	0.0714083	0.0248987	0.194549	0.763986	0.0742695	0.0683681	0.371417	0.223067	0.1509981	0.1993536	0.0635635	0.03265	0.0547053	0.0711087	0.0793044	0.0337287	0.0159669	0.010674	0.226183	0.134909	0.0952015	0.0097131	0.00224316	0.135215	0.0348337	0.5032488	17	14.96276	0.268111	0.520608	0.814476	1.0824	1.58252	0.189455	0.125508	0.211898	0.0694547	0.287261	0.116422	0.7026024	0.7162639
500	-434.5664	-368.5647	-66.0017	12.97543	4.763225	0.00136307	0.0916582	0.058507	0.0306375	0.0275036	0.028546	0.0227063	0.0141947	0.0132353	0.0498816	0.0503132	0.00332137	0.0420764	0.699384	0.0280339	0.036816	0.00697856	0.369919	0.571507	0.277013	0.0684754	0.0138061	0.0500486	0.0902677	0.0266313	0.14771	0.0248865	0.188999	0.032443	0.0537254	0.205601	0.585405	0.112383	0.540982	0.0215553	0.0632363	0.00886825	0.000550142	0.00307612	0.219379	0.103254	0.436607	0.0667876	0.032733	0.361893	0.202091	0.273962	0.0578311	0.0128556	0.0159309	0.191255	0.2026	0.159156	0.249508	0.358744	0.137631	0.378843	0.0124652	0.0421105	0.039386	0.0856073	0.208635	0.1222518	0.1840087	0.086275	0.0551026	0.0912408	0.0767604	0.132559	0.0365123	0.099044	0.0061925	0.111621	0.00714302	0.101903	0.0361728	0.0279409	0.0482563	0.0832771	0.5983111	12	14.66155	0.2271033	0.491936	0.798057	1.08369	1.62632	0.129057	0.156741	0.223641	0.0949602	0.247689	0.147911	0.7823198	0.764791
600	-434.6223	-359.8937	-74.72865	9.139693	7.358061	0.0340434	0.0459663	0.0661473	0.00317365	0.0337862	0.0207397	0.0933343	0.0251687	0.0960351	0.098414	0.0251417	0.0525455	0.334505	0.289963	0.0720726	0.022462	0.411214	0.000843869	0.542203	0.131023	0.100303	0.0248307	0.0458777	0.102364	0.00145439	0.256296	0.176394	0.030749	0.15023	0.0329738	0.235678	0.338345	0.131855	0.429283	0.0321452	0.167891	0.0933874	0.0102518	0.0066406	0.0400513	0.180776	0.856341	0.00272323	0.0978948	0.213984	0.227215	0.834564	0.0958402	0.392395	0.065397	0.19208	0.476584	0.00431412	0.0410908	0.0523673	0.0236543	0.0828556	0.392966	0.906631	0.423737	0.0225891	0.00149591	0.1346612	0.1107446	0.124894	0.117434	0.0675361	0.0280209	0.0737875	0.0363431	0.0659678	0.00211863	0.141094	0.0791495	0.162869	0.00688099	0.00624987	0.0217669	0.0658876	0.7006856	17	9.492921	0.1508821	0.577857	0.844913	1.07812	1.49911	0.145101	0.127484	0.193404	0.134325	0.283568	0.116118	0.8114303	0.8635192
700	-434.1882	-366.7208	-67.46736	12.64006	3.977222	0.0201988	0.0952187	0.00415629	0.00542395	0.00142154	0.0348776	0.0340592	0.0123013	0.0193753	0.0917259	0.0202133	0.00482148	0.17948	0.249235	0.0333011	0.0520851	0.0107938	0.061982	0.0829999	0.172277	0.41579	0.0141095	0.0313967	0.00843061	0.102014	0.0755267	0.00489538	0.03915	0.005349	0.428831	0.0744357	0.285418	0.184395	0.556553	0.299339	0.451314	0.0149221	0.0947956	0.0905639	0.05108	0.0654935	0.586964	0.0435013	0.0314593	0.298545	0.0190283	0.407269	0.1146	0.0887502	0.0346907	0.150427	0.22119	0.00549722	0.0156516	0.000846735	0.0341585	0.0660487	0.514825	0.0777197	0.182813	0.0077821	0.0718772	0.1333084	-0.2069128	0.116831	0.105879	0.143368	0.0767701	0.139003	0.0349506	0.0486363	0.010124	0.0669979	0.019794	0.0695089	0.0428055	0.00721512	0.105606	0.0125106	0.8795636	9	12.9868	0.2117475	0.453106	0.774418	1.0844	1.68807	0.146247	0.176845	0.111191	0.114408	0.3329	0.118409	0.6726508	1.307608
800	-453.6032	-361.6393	-91.96396	8.655577	4.421267	0.0166481	0.0180625	0.0182786	0.0127684	0.00258835	0.00781957	0.0352362	0.0539623	0.694457	0.0985822	0.325753	0.0045409	0.0131744	1.09479	0.0319038	0.0121894	0.0751793	0.529585	0.146054	0.267472	0.316635	0.0142516	0.0389977	0.110745	0.0169006	0.108197	0.218842	0.0229259	0.331651	0.200584	0.00876684	0.364645	0.0577821	1.81455	0.204621	0.192985	0.151887	0.079316	0.010357	0.0584001	0.0349419	0.310588	0.039469	0.0258986	0.576196	0.0985851	0.274428	1.52047	0.11749	0.0113287	0.350046	0.319858	0.00631027	0.0626396	0.138644	0.0224663	0.222025	0.527532	0.459167	0.210151	0.182112	0.0246148	0.2326257	0.0883033	0.0434514	0.131216	0.0983515	0.0702462	0.0450177	0.0501375	0.0286676	0.00491165	0.165829	0.0761487	0.119766	0.0115016	0.0774828	0.0489444	0.0283276	0.6177003	13	9.603713	0.2096283	0.476107	0.788623	1.08413	1.65114	0.0962934	0.161422	0.192318	0.0910729	0.291299	0.167595	0.7060036	0.8749251
900	-421.6177	-366.8921	-54.72562	10.68101	6.192904	0.197574	0.120861	0.172369	0.00713133	0.00354591	0.519802	0.00940342	0.00524256	0.00623499	0.0372061	0.000433535	0.0197085	0.0825693	0.0593666	0.0320706	0.000901156	0.0532005	0.0228536	0.000452783	0.270466	0.000663608	0.0100516	0.0174323	0.0721102	0.00474566	0.142862	0.0785168	0.142207	0.152891	0.0122544	0.151216	0.0324331	0.0628254	0.0017074	0.0486869	0.0809603	0.199252	0.000513278	0.000192219	0.478856	0.128443	0.154052	0.313647	0.0325319	0.0315338	0.0802895	0.181508	0.102444	0.0345981	0.323249	0.170211	0.298195	0.486441	0.216376	0.015736	0.0212228	0.0461627	0.130129	0.0519235	0.171393	0.457726	0.00519635	0.106365	0.07230039	0.133275	0.136747	0.0389915	0.0344345	0.0619206	0.0471852	0.0155977	0.00317987	0.170383	0.0281481	0.0741892	0.0295143	0.0502616	0.0895663	0.0866062	0.5596969	11	10.83822	0.1540452	0.545164	0.827897	1.08082	1.54612	0.155909	0.163023	0.212363	0.127062	0.234815	0.106828	0.6319973	0.8856002
