Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-118.6483	-129.1104	10.46208	8.065343	1.123027	0.0249608	0.030507	0.0221523	0.0888396	0.0118885	0.0172232	0.0530253	0.0136473	0.01041	0.0649577	0.0990195	0.0738471	0.102784	0.00972664	0.0642777	0.0260543	0.0231938	0.0549705	0.0417079	0.0128803	0.0128111	0.0171654	0.03739726	0.1528941	0.0004429	0.197082	0.0575117	0.0146855	0.0212297	0.116557	0.138449	0.0103471	0.0114821	0.192458	0.00415389	0.0137875	0.0398418	0.0988799	0.0830912	0.3261025	3	9.212958	0.1079095	0.160827	0.510845	1.01773	2.3106	0.065728	0.191717	0.0507612	0.508275	0.0567856	0.126734	0.4789966	0.6808034
1	0	-118.5511	-124.2381	5.687023	4.815571	0.6915407	0.156694	0.158349	0.0370254	0.107597	0.0664205	0.0687276	0.00972195	0.0257949	0.0234886	0.0883953	0.236647	0.303332	0.203017	0.0773468	0.126197	0.00554634	0.00199225	0.00641895	0.0322976	0.016253	0.017244	0.00556391	0.1024628	0.0814924	0.0224973	0.134636	0.124196	0.00136836	0.0291668	0.11762	0.0512901	0.10981	0.0346327	0.04296	0.0630061	0.0826368	0.124749	0.0220617	0.0393706	0.4742343	3	4.879199	0.3248721	0.0723823	0.359511	0.921693	2.64641	0.0843824	0.3173	0.0717715	0.401424	0.0238294	0.101293	0.5557267	0.8533588
2	0	-117.7633	-127.331	9.567682	9.12554	1.698217	0.0678588	0.0169833	0.0696269	0.016083	0.0625229	0.00684227	0.000716912	0.0582215	0.0729606	0.0018161	0.0351764	0.0152919	0.0795618	0.125126	0.0125998	0.0013384	0.0387507	0.0435759	0.00253366	0.0523801	0.0221811	0.00968153	0.03721577	0.180502	0.0310775	0.0209327	0.322762	0.0807843	0.0117858	0.0329083	0.022359	0.0558724	0.00224519	0.108034	0.0900704	0.0123229	0.126277	0.0324741	0.0500948	0.3037781	2	12.99166	0.1407868	0.254384	0.618537	1.06021	2.06687	0.0899937	0.188557	0.0743264	0.531331	0.0148266	0.100966	0.4842801	0.6272778
3	0	-120.9777	-128.3259	7.348207	6.012283	0.7999102	0.0833459	0.0419027	0.0120505	0.0426486	0.0688832	0.00257903	0.0572799	0.0386501	0.0155486	0.0856904	0.02676	0.260143	0.0448886	0.188542	0.00128387	0.0425265	0.057677	0.0434011	0.0160332	0.00244315	0.0248803	0.2052	0.05268782	0.1375053	0.00961734	0.0534791	0.102826	0.0753582	0.0029009	0.0891567	0.160904	0.0250241	0.00871717	0.133666	0.0087506	0.0351583	0.0235902	0.0940625	0.176789	0.4321937	3	7.339328	0.1794292	0.0955396	0.407098	0.95693	2.54043	0.17239	0.166597	0.0981923	0.460165	0.0459767	0.0566793	0.569699	0.7586352
4	0	-102.8061	-118.0943	15.28824	4.588763	2.116912	0.0382079	0.0618201	0.038353	0.0389006	0.0404353	0.060021	0.0279175	0.0452462	0.000754132	0.0193537	0.0225843	0.0572919	0.125211	0.011077	0.00141177	0.00318267	0.0323957	0.040209	0.0247635	0.133436	0.000466873	0.0106444	0.0784208	0.4098381	0.0184621	0.137388	0.135729	0.0249554	0.0931984	0.0622097	0.0799631	0.0766022	0.0109384	0.21217	0.0415606	0.0394814	0.0555718	0.000942541	0.0108275	0.3060986	4	4.838085	0.3393608	0.306842	0.666897	1.07266	1.9536	0.0679387	0.227914	0.0524657	0.461879	0.0340929	0.15571	0.7159367	0.4275498
5	0	-116.0303	-124.9089	8.878687	5.880116	2.639935	0.0552322	0.0224033	0.0289646	0.0718933	0.00662422	0.00743089	0.0490482	0.107709	0.00396273	0.0223427	0.049532	0.175052	0.196062	0.00861297	0.0336902	0.00202342	0.00902667	0.0570013	0.0147569	0.11906	0.0281823	0.0304013	0.04270804	0.1893162	0.00398855	0.192375	0.0367554	0.0405227	0.0339115	0.0466214	0.035987	0.0603723	0.00803539	0.149044	0.107984	0.0563398	0.0391758	0.0574246	0.131462	0.3575598	1	6.669764	0.1230047	0.359335	0.709418	1.08005	1.85119	0.0690284	0.250245	0.0897924	0.461858	0.0798562	0.0492195	0.546876	0.6538224
6	0	-109.6781	-123.2733	13.59525	8.290208	1.832852	0.0205805	0.0731476	0.0158876	0.0482539	0.0506781	0.0179476	0.0381144	0.066953	0.027087	0.112048	0.030647	0.0195932	0.00585385	0.00112244	0.0033752	0.0572378	0.0219938	0.121741	0.00630003	0.014511	0.0114361	0.0154184	0.02208597	0.1237469	0.00100103	0.146531	0.0898897	0.084164	0.00306854	0.0112848	0.132072	0.00973878	0.0448076	0.179624	0.141699	0.0271261	0.115918	0.00902402	0.00405189	0.3320995	3	8.760529	0.1750453	0.272471	0.635975	1.06518	2.02637	0.0546309	0.321973	0.100654	0.415815	0.0420555	0.0648711	0.4558464	0.7285339
7	0	-126.1228	-131.0761	4.953365	4.898682	3.388122	0.00980824	0.0389138	0.0939175	0.0147	0.0629459	0.0430409	0.0715426	0.0703754	0.0297083	0.00168233	0.00290222	0.170044	0.0721812	0.00434573	0.0332371	0.0764491	0.0811107	0.0504239	0.100904	0.14067	0.0844133	0.0565204	0.06213887	-0.07967335	0.0107055	0.0792943	0.0391852	0.197984	0.00327667	0.0859125	0.0759934	0.0611827	0.00132857	0.219555	0.00111394	0.0198495	0.0440699	0.0840719	0.0764767	0.4703066	3	8.283989	0.2347689	0.417224	0.75098	1.08386	1.74793	0.0615414	0.283476	0.0984987	0.405303	0.105603	0.0455777	0.3906333	1.203959
8	0	-101.2974	-118.4598	17.16239	5.811189	2.811229	0.00144154	0.0084776	0.0536496	0.0070402	0.00810995	0.0116454	0.10426	0.00491566	0.0077749	0.0292787	0.0389448	0.0367706	0.0102915	0.0387933	0.00197511	0.028778	0.224807	0.0439795	0.00758277	0.0827511	0.0171	0.0110277	0.04187244	0.03255574	0.0517697	0.0699392	0.156304	0.0284825	0.0166835	0.0119757	0.0707976	0.0166991	0.0395864	0.254732	0.116952	0.0118157	0.0310874	0.00568627	0.117488	0.4771276	4	6.261245	0.370088	0.37411	0.72051	1.08141	1.82397	0.15706	0.21968	0.023689	0.44945	0.0382963	0.111825	0.5096834	0.9361256
9	0	-133.4281	-129.9613	-3.46675	7.408668	1.840769	0.017794	0.173332	0.134529	0.0813962	0.0727074	0.0726168	0.0218456	0.00850681	0.0427751	0.022901	0.00472593	0.162978	0.0619496	0.123514	0.030802	0.149039	0.0224088	0.131559	0.0226857	0.0963541	0.0613566	0.0524243	0.09485512	-0.1794792	0.00939628	0.121736	0.121732	0.0219966	0.043751	0.0210809	0.0345321	0.0595016	0.0308014	0.181128	0.161643	0.00840568	0.0513236	0.00184876	0.131122	0.4934051	1	8.078055	0.1152114	0.273497	0.636938	1.06544	2.02412	0.0643791	0.180221	0.0818177	0.451897	0.138009	0.0836759	0.3139258	1.571725
