Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
0	0	-398.9415	-343.399	-55.54256	7.443073	7.110207	0.449705	0.11896	0.970938	1.37815	0.861943	2.97101	0.473873	0.1059	0.294123	0.0435939	0.0358062	0.751947	0.142622	0.705428	1.27458	0.0416054	0.603309	0.253537	1.09084	0.23778	0.250056	0.337909	0.3671253	-0.07036845	0.0952106	0.0901424	0.060585	0.0592424	0.0911845	0.00734083	0.00188393	0.0616075	0.112782	0.0108557	0.166663	0.0442571	0.0795651	0.0642176	0.0544628	0.5879729	3	8.493381	0.2245572	0.571505	0.84168	1.0787	1.50812	0.104496	0.185543	0.22098	0.10371	0.264461	0.12081	0.5176045	1.13595
1	0	-404.815	-343.767	-61.04805	7.832888	7.158292	0.810147	0.29136	0.232243	0.710179	2.13749	1.3238	0.0573295	0.0982667	2.03824	0.200108	1.2645	0.690902	0.284339	0.551948	0.879565	1.42835	0.43493	0.405482	0.257051	0.0737273	0.993659	0.204365	0.6032196	0.03245347	0.0815013	0.159438	0.0717269	0.0302948	0.0733248	0.0241648	0.0263128	0.00713929	0.161541	0.0381222	0.203224	0.0506628	0.0278961	0.038075	0.00657637	0.5483839	4	9.627403	0.1539007	0.57276	0.842322	1.07858	1.50633	0.118112	0.152511	0.19314	0.15588	0.292036	0.0883211	0.5808373	0.9441264
2	0	-385.3315	-341.2626	-44.06894	9.817654	3.525433	0.123815	0.17474	0.329046	0.467769	0.74656	1.17568	0.0220759	0.825635	0.381893	0.065457	0.0258954	0.954453	1.01271	0.00346212	0.954721	0.0890791	0.364961	0.132825	0.277776	0.142713	0.191098	0.256853	0.2851052	-0.09625816	0.157815	0.137575	0.0496107	0.0912651	0.0642157	0.0153528	0.0226685	0.0115466	0.190041	0.0456557	0.0866756	0.0224026	0.0153588	0.0869579	0.00285905	0.3461407	4	11.45236	0.1441857	0.426226	0.757014	1.08412	1.73265	0.0980123	0.100425	0.305733	0.102135	0.256805	0.13689	0.2498825	1.385214
3	0	-395.0673	-346.2038	-48.86344	9.424521	4.370416	0.162857	0.231657	0.230948	0.591019	0.384211	0.120314	0.27865	0.162939	1.20314	0.0560939	0.0942002	0.47477	0.551877	0.261887	0.180227	0.568627	0.217196	0.0593981	0.158197	1.26646	0.823327	0.475132	0.4361864	0.12674	0.0529615	0.0577092	0.0096396	0.242607	0.115855	0.0198501	0.0062914	0.0315963	0.131579	0.0630721	0.178886	0.0124705	0.0336202	0.0392106	0.00465239	0.6565466	2	10.09084	0.1423686	0.473622	0.787117	1.08418	1.65508	0.0774757	0.204791	0.270394	0.0825413	0.167028	0.19777	0.7832866	0.8381946
4	0	-403.1602	-348.2517	-54.90847	11.1377	5.646782	0.121409	0.452774	0.0405889	0.910587	0.596622	0.261119	0.321435	0.230457	0.122829	0.00556537	0.0310832	0.0291478	0.495442	0.106578	0.693626	0.106127	0.582909	0.832866	1.01976	0.934236	0.152336	0.0127068	0.3901844	0.07827109	0.0614925	0.0111186	0.0662517	0.0690092	0.0347332	0.132906	0.0445483	0.00384476	0.184004	0.0816028	0.116844	0.0117039	0.0807322	0.0575652	0.0436431	0.1904673	2	12.48384	0.1583523	0.526908	0.817974	1.08203	1.57309	0.135426	0.121403	0.186835	0.0916987	0.328698	0.13594	0.2687384	0.7087462
5	0	-399.5503	-347.9291	-51.62125	11.31331	3.371567	0.327411	0.62246	0.260191	0.838094	0.494818	1.82491	0.0530405	0.166934	0.330529	0.0394529	0.22616	1.08818	1.06598	0.128582	0.158575	0.683035	0.0705804	1.16425	0.0236094	0.45995	0.133873	0.229496	0.5269244	-0.06490973	0.0846252	0.085991	0.054282	0.142272	0.113096	0.033253	0.121537	0.0481008	0.0588375	0.000860969	0.173245	0.0228639	0.0199969	0.0256227	0.0154167	0.4840648	2	12.3285	0.1786307	0.41611	0.750226	1.08382	1.74984	0.0971281	0.171614	0.231308	0.0487655	0.27222	0.178965	0.4191551	1.154858
6	0	-396.94	-354.5993	-42.34072	9.424466	2.70231	0.30148	0.0523406	0.297368	0.408711	0.815595	0.122534	0.175746	0.118756	0.0629113	0.0524107	0.0583574	0.615832	0.175686	0.145885	0.0624206	0.977489	0.457895	0.176632	0.450702	0.262778	0.589264	0.36921	0.3468831	0.1340265	0.0547266	0.0288687	0.190401	0.163981	0.0645747	0.0201526	0.0492268	0.0129125	0.00595112	0.0541611	0.148404	0.035548	0.106383	0.062808	0.0019004	0.2463852	2	15.77841	0.138064	0.364835	0.713589	1.08059	1.84098	0.117536	0.241757	0.170161	0.0569156	0.232604	0.181026	0.3804117	0.6476804
7	0	-398.099	-344.5751	-53.5239	10.3247	2.511865	0.427039	0.0219762	0.04075	0.496857	0.889961	0.193449	0.3693	1.08849	0.768959	0.0583197	1.63763	0.658166	0.525558	1.44697	0.848047	0.101366	0.219369	0.45556	0.552593	0.107558	0.287785	0.212225	0.3703322	0.1665997	0.0223183	0.013574	0.0533595	0.148803	0.064157	0.0627284	0.00380952	0.0505619	0.153033	0.00860004	0.342314	0.0103329	0.0214644	0.0440337	0.000910237	0.4216529	3	10.98155	0.152899	0.347579	0.700334	1.07876	1.87333	0.167084	0.11673	0.199342	0.151044	0.222291	0.143509	0.5882526	0.7167889
8	0	-387.5389	-339.6383	-47.90056	6.911615	6.772644	0.693673	0.0236657	0.128099	1.42426	0.8253	0.159138	0.182121	0.602712	0.727885	0.403099	0.289955	0.486135	0.84891	0.191985	0.42397	0.324202	0.110745	0.455604	0.893968	1.54185	0.291829	0.211457	0.3505485	0.0007573896	0.0753217	0.0802365	0.0806001	0.0619053	0.116185	0.0231183	0.0238302	0.00642194	0.167154	0.0200154	0.196626	0.0299105	0.0470119	0.0382921	0.033371	0.5567962	4	8.993816	0.1594234	0.562363	0.836966	1.07948	1.52119	0.211106	0.165075	0.154322	0.0668011	0.273873	0.128824	0.5575536	0.9986416
9	0	-391.4093	-350.0174	-41.39182	10.55943	2.12299	0.431276	0.0792224	0.22401	0.433762	0.797294	0.0989376	0.153334	0.273167	0.675507	1.3143	0.0874883	0.533854	0.318195	0.240353	0.564645	0.143467	0.159263	0.519195	0.0743919	0.370613	0.18816	0.0695278	0.3689198	-0.02086118	0.0843268	0.113965	0.17788	0.01405	0.125991	0.0257775	0.079923	0.0125284	0.113312	0.0209547	0.0605481	0.00460581	0.0044298	0.114301	0.0474066	0.4782028	2	12.00641	0.1465995	0.307527	0.667486	1.07278	1.9522	0.140742	0.134897	0.255016	0.0537191	0.311259	0.104367	0.4573416	1.045614
10	0	-398.0119	-356.2396	-41.77228	7.405453	1.905281	0.763345	0.148957	0.188263	0.65869	0.215459	0.187549	0.24265	0.280482	0.556881	1.03388	0.324207	0.502093	0.0228736	0.45416	0.0490121	0.0490679	0.952074	0.910496	0.54158	0.215831	0.0238854	0.541305	0.3441122	-0.1145496	0.0907756	0.0362313	0.0454996	0.0423736	0.0251687	0.0951442	0.109035	0.0456009	0.0858788	0.0277858	0.134805	0.0422532	0.0998383	0.108688	0.010922	0.4406576	3	12.33316	0.2304096	0.2817	0.644548	1.06743	2.00632	0.168874	0.141418	0.204036	0.0918015	0.274258	0.119612	0.3261081	1.351263
11	0	-392.5187	-344.3895	-48.12917	7.463964	3.627451	0.661443	0.24096	0.638792	0.798228	0.702589	0.167822	0.0843284	1.00037	0.873546	0.136165	0.0381331	0.681851	0.348689	0.265369	0.013042	0.609496	0.65588	1.60236	0.787911	0.180538	0.0694066	0.114833	0.60512	-0.09501389	0.0503836	0.0428496	0.101959	0.126636	0.10523	0.025143	0.0411945	0.00483073	0.107889	0.0894372	0.135817	0.0072029	0.0485867	0.0760266	0.0368143	0.5596475	4	7.692521	0.2937316	0.432647	0.761253	1.08425	1.72185	0.121159	0.243515	0.210206	0.0644084	0.234184	0.126528	0.4646336	1.204492
12	0	-400.6485	-349.9139	-50.73461	13.26654	2.475016	0.417004	0.147147	0.239567	0.295796	1.33882	0.744395	0.31578	0.426838	0.248193	0.25601	0.224887	0.572546	1.53399	0.331811	0.238889	0.120408	0.344528	0.433056	0.187658	0.115052	0.228038	0.0469042	0.3524276	0.009295405	0.0811737	0.104543	0.0655244	0.0117856	0.102655	0.00966311	0.00459251	0.0320987	0.0324733	0.0125393	0.313393	0.0358064	0.0269946	0.142261	0.0244979	0.4516885	2	15.96103	0.08966218	0.344075	0.69758	1.07834	1.88001	0.188919	0.203282	0.175831	0.0974978	0.213675	0.120796	0.4609839	0.9798357
